23,MADHYA PRADESH                                    ,2339,JABALPUR                                          ,119902,1869,4426,77383,40,0,0,0,26750,90316,18347,7297,1212,3934,70,0,94031,0,0,57783,40,0,0,0,3409,22673,2240,258,0,841,0,0,57088,52226,52265,50870,48832,51342,46637,39820,55850,55408,52798,51927,50564,48413,49353,46234,50343,53861,55402,53555,52638,48254,47400,48087,53804,47458,52125,52595,51292,49006,48424,47787,46922,47345,43560,47088,47357,43470,42423,41095,39462,22493,19442,11189,47965,23387,26534,13475,0,0,102.98,0,0,89.18,0,0,85.16,0,0,66.18,76090,42664,9854,44514,774,175673,22743,22990,20994,22892,22912,21535,21058,20549,213,187,257,255,206,268,202,221,170,163,192,184,183,189,127,179,192073,94241,136913,64421,6956,81919,1103,3095,70,8269,27277,15817,1820,149,555,0,7562,1778,0,478,0,0,0,3066,2873,2594,2794,2743,2408,2319,2246,21348,7748,10643,4222,109865,58368,53377,29170,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2324,JHABUA                                            ,165839,299,301,46395,0,0,114,0,18309,26826,4955,3714,0,9803,0,0,163140,0,0,43712,0,0,0,0,15233,19101,664,2398,0,5815,0,0,50025,42269,37357,32485,25556,18774,12665,9412,54761,44276,39566,33489,27761,18918,14993,10975,49947,43530,38284,33670,27987,19222,16600,13562,49161,44430,39602,34907,30158,21310,18459,16237,50817,45468,43339,38458,33764,24088,21572,19093,4494,2263,2148,1111,183071,85208,50281,22710,0,0,129.67,0,0,73.87,0,0,104.67,0,0,49.92,87226,11579,2040,23660,0,128159,23500,20941,20035,18166,15892,11184,9870,8571,44,43,54,51,51,33,26,27,20,28,33,34,35,22,25,19,170998,43759,182714,21830,3931,50109,0,7221,114,1434,5241,1325,0,0,2582,0,0,54,0,0,0,0,0,1547,1369,1072,994,812,517,458,388,644,322,314,175,12200,6337,5842,3071,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2338,KATNI                                             ,118917,0,1132,72104,269,509,0,0,7875,34373,8558,1963,139,2407,94,0,111981,0,0,67251,0,0,0,0,4072,18644,2116,432,0,1264,94,0,40882,36244,36043,33371,30720,33261,28316,23008,38661,37113,35199,33786,31584,30139,30695,27313,31765,37965,37654,35775,34692,31511,30144,30703,33510,32424,38241,37901,36250,33665,31413,29874,29104,29852,29275,34582,34382,31712,30787,28803,21936,13559,10558,6865,51715,24622,24618,12945,0,0,106.55,0,0,98.32,0,0,85.77,0,0,72.97,62249,14786,4415,38751,190,121725,13965,14403,13948,16400,16793,16031,15633,14552,88,100,131,178,169,135,116,115,83,72,105,144,143,98,83,118,126528,67762,125208,28823,5746,73885,408,2311,94,1124,5292,3944,120,0,605,0,413,0,0,53,0,0,0,677,689,665,826,772,349,280,232,2343,1263,1096,618,67810,42750,32804,21456,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2329,KHANDWA                                           ,130382,0,1291,66452,233,0,0,0,7420,23068,14486,191,790,5668,278,0,121391,0,340,59741,0,0,0,0,5901,12862,1090,150,277,1169,218,0,46496,40748,39406,36262,28125,29803,21290,15998,45261,41690,38612,36002,32340,25505,25830,17951,39501,41447,41009,36863,34163,28558,23935,23398,38185,34658,37205,36438,32643,29546,27063,22414,33751,34624,33194,34758,33608,29323,27876,25013,19101,11124,9274,5564,76893,36440,30565,15070,0,0,107.08,0,0,86.65,0,0,87.65,0,0,59.86,68533,9470,6411,34573,471,121840,16068,16378,15441,16724,16576,14453,13817,12383,96,140,140,117,112,91,71,63,68,92,117,77,114,78,53,72,139098,56794,133735,17158,5710,65970,934,4900,278,1859,5823,10067,33,27,768,0,3234,382,0,640,62,0,0,5224,4547,4445,4373,3574,2274,1966,1654,13514,6193,6502,3222,58895,31180,28400,15424,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2327,KHARGONE                                          ,177859,58,1347,90851,0,0,0,0,8689,49987,19921,422,682,12962,568,0,170765,0,0,84183,0,0,0,0,6702,37864,9914,314,118,6913,568,0,67173,59650,57267,52977,46000,39446,29729,23117,64928,60024,56230,52458,47531,38398,34186,26742,52373,60692,58227,54042,49906,40426,35675,32103,50302,48070,55679,52713,48773,42122,38275,33884,48521,47951,46593,53039,49453,43399,40002,36120,24700,14670,11910,7332,124685,59928,52411,26911,0,0,106.13,0,0,85.96,0,0,87.91,0,0,61.35,94918,19744,8569,49211,306,177955,22981,22708,22182,25583,24504,21750,20034,18213,105,92,111,147,109,85,78,83,75,75,70,107,87,59,59,78,203396,85298,183041,35881,7029,91121,650,9135,515,2190,14164,14239,13,32,3827,53,3049,0,0,104,0,0,0,361,326,334,356,323,179,123,90,13970,6418,6708,3275,79623,42411,38333,20942,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2342,MANDLA                                            ,102140,0,0,63710,0,0,0,0,18497,0,0,8386,0,0,0,0,99354,0,0,60372,0,0,0,0,10000,0,0,4042,0,0,0,0,34808,28189,27596,26332,23110,26616,22364,17115,29817,29833,27398,26311,24619,23540,24822,21605,22938,27421,28992,26750,25540,23960,22994,24109,24227,22002,26886,28311,25829,24827,23489,22346,21894,23369,21518,26102,27743,25085,24253,22769,4971,3493,2357,1746,76987,37766,44111,22839,0,0,106.36,0,0,108.71,0,0,91.62,0,0,75.63,58922,0,0,36854,0,95776,10772,11509,10376,12713,13547,12648,12385,11826,103,142,147,211,177,115,127,98,94,114,132,159,153,113,113,121,103912,50163,117210,0,0,70695,0,0,0,3427,0,0,1401,0,0,0,51,324,0,130,0,0,0,582,606,547,687,686,653,565,431,804,532,390,286,35920,22679,17478,11436,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2319,MANDSAUR                                          ,76849,7347,671,52192,232,0,0,0,6860,58706,21803,242,72,10227,0,0,72452,1408,0,47801,232,0,0,0,4332,41487,6092,0,0,5523,0,0,46877,39599,37067,35179,29976,31327,25052,19938,36139,37568,35233,34121,32282,29024,27596,23184,30519,32246,34436,32568,31308,29838,26995,25811,31878,28158,30612,32763,30796,29207,28037,25933,29694,29612,27873,30186,32226,29573,28763,27675,29847,17386,14305,8375,4998,2420,2502,1190,0,0,106.91,0,0,95.87,0,0,87.83,0,0,70.42,44635,28159,8568,28133,111,113622,14255,14120,13256,14669,15938,14490,13825,13069,51,56,89,101,95,67,74,51,31,55,57,69,70,51,49,59,122890,63178,83524,62225,14331,52434,304,8114,0,369,4045,8143,0,0,2113,0,0,0,0,0,0,0,0,549,521,467,470,597,491,418,415,16081,8655,8050,4375,92159,52111,44775,24967,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2302,MORENA                                            ,162732,332,333,91120,221,0,0,0,59343,88319,12412,16580,608,13293,575,0,147830,332,333,80263,221,0,0,0,28338,31185,4581,5228,155,2677,575,0,81227,77738,77788,75470,74695,56475,50112,41864,82904,75958,69608,71336,68036,55337,52434,45843,71453,75440,75354,71260,70381,54441,53599,52179,77102,71868,72365,68563,66792,56763,52794,52052,65165,63748,58101,58999,58621,49386,50643,49309,60147,32141,26714,15398,2858,1355,1156,549,0,0,131.87,0,0,104.07,0,0,127.46,0,0,92.91,108013,37670,4692,54205,275,210170,29490,28444,26602,27551,27205,23611,23634,23633,60,102,128,128,93,63,89,79,50,87,84,73,74,42,77,120,294452,133314,225634,87139,11010,107306,829,12641,575,0,1570,1735,299,0,652,0,2961,589,0,361,0,0,0,1265,933,909,962,949,884,991,962,6387,2186,3102,1054,148490,70220,68446,33361,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2340,NARSIMHAPUR                                       ,70735,0,640,52201,230,0,0,0,5068,24786,16117,0,979,8631,36,0,66442,0,640,47077,230,0,0,0,3217,16458,5076,0,75,5317,36,0,32425,30359,30771,30299,28868,28552,25710,20916,25233,26291,25304,25479,24523,24057,24897,22148,21201,23904,25248,24687,24620,23671,22263,22988,21729,20753,23168,24406,23845,26057,25520,23437,21285,21354,20214,22759,24264,23478,23633,22831,20504,13526,9739,6605,17522,8533,11031,5458,0,0,104.08,0,0,103.36,0,0,88.73,0,0,76.03,38238,9987,6767,27275,457,86165,10017,10222,9562,10599,11713,11374,11496,11182,72,71,90,151,168,109,92,105,46,76,69,106,94,76,75,71,93674,51451,72739,17926,8680,51648,1154,3530,0,1240,6646,8077,0,0,4156,0,1410,150,0,553,0,661,0,640,642,601,638,723,630,656,662,3292,1967,1617,972,59343,37284,28016,18199,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2318,NEEMUCH                                           ,45088,0,1274,32198,215,0,0,0,4193,27503,13075,0,195,8500,0,0,40345,0,0,27694,0,0,0,0,3336,15534,2131,0,0,2851,0,0,27782,24247,23854,21708,17931,19967,16476,13464,22521,24475,22876,21858,20000,18455,17296,14797,17377,18786,21013,19586,18907,17580,15567,14603,17298,16565,17942,19924,18709,17721,16691,14667,16263,16140,15875,16963,18798,17250,16612,15617,12007,7801,5753,3831,10045,4826,4172,1932,0,0,100.07,0,0,93.09,0,0,86.63,0,0,69.49,26178,11494,5612,17150,124,63787,7630,7628,7535,8098,9175,8389,7998,7334,42,33,39,63,77,48,37,41,28,21,28,30,65,30,36,19,72746,36935,48645,21936,3885,32109,410,5276,0,659,5653,10464,0,0,3224,0,699,186,0,0,0,0,0,40,38,39,21,15,37,13,14,6471,3217,3175,1680,49911,29755,23837,14182,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2310,PANNA                                             ,121247,0,614,59830,373,0,0,0,3662,28726,8769,0,8,4899,0,0,117611,0,0,55992,373,0,0,0,3456,21361,3884,0,8,2748,0,0,37369,34275,32916,30217,29003,25262,23019,19309,36822,33691,32010,30390,28924,25519,22423,21401,31595,36012,34691,31796,30551,25985,24033,21489,34885,31636,34697,33223,31975,25746,24208,22550,31356,30451,29431,32514,30824,25799,25086,23397,36491,17251,17240,8694,32187,15203,11963,6245,0,0,122.67,0,0,91.5,0,0,94.41,0,0,65.75,61809,11584,3938,32413,175,111813,15100,14395,13694,15684,15110,13077,12610,12143,41,73,70,77,70,65,35,40,31,21,42,55,42,55,34,35,118975,53378,125053,27960,6164,59830,381,4899,0,171,753,3219,0,0,0,0,329,99,0,0,0,0,0,1434,1106,996,965,792,487,431,387,3733,1261,1828,661,58211,32502,27562,16507,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2334,RAISEN                                            ,106564,301,0,61193,226,0,0,0,1209,32962,28996,0,0,11184,10,0,97618,0,0,54716,226,0,0,0,826,20244,10581,0,0,6610,0,0,41826,37154,37792,36942,35322,35754,30819,25339,40597,37734,35580,35276,34652,32673,30772,26540,34907,36474,35237,33386,35037,32096,30755,29121,35675,31995,34077,33197,31764,31164,30169,28889,32875,32374,29989,32280,31395,28874,29481,28592,30297,16628,14412,8465,30435,14573,15303,7678,0,0,99.85,0,0,88.14,0,0,83.62,0,0,65.32,54773,15642,12168,33061,95,120390,15760,15854,14283,15486,15217,14668,14813,14309,52,74,93,88,119,81,105,83,42,64,62,69,70,84,88,94,133081,64433,108095,32979,15915,60977,226,8123,0,263,2264,13081,0,0,3061,0,258,270,0,0,0,0,0,1581,1446,1300,1245,1183,963,1069,1015,12453,6153,6126,3182,71135,39422,34283,19685,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2330,RAJGARH                                           ,137456,0,612,73432,210,0,0,0,6139,45602,20350,0,0,13710,0,0,124787,0,0,63909,210,0,0,0,5089,28344,1575,0,0,3786,0,0,57102,51096,49488,46236,41857,37359,30962,25925,51836,46382,44236,41752,39163,32760,28900,24097,47715,49348,46481,44119,42147,36065,32141,28261,43176,41789,44193,41280,39602,36083,33087,29564,40603,39637,39467,41423,39376,35278,33653,31383,43298,21272,20673,10301,7978,3712,3979,2060,0,0,108.99,0,0,89.28,0,0,88.98,0,0,65.77,77196,16377,6930,40886,76,145957,19217,18583,18808,20388,19550,17410,16668,15333,83,107,117,144,130,101,67,75,53,68,78,124,125,84,65,72,163695,73896,144160,37998,8672,73359,210,8248,0,849,7539,12290,0,0,5462,0,1353,246,0,0,0,0,0,2601,2391,2256,2270,2147,1284,1199,1002,12085,5188,5997,2744,128535,64075,62231,31591,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2320,RATLAM                                            ,117584,0,1029,55086,396,0,0,0,8238,42169,28811,251,933,8047,0,0,109499,0,0,48942,232,0,0,0,5637,23722,994,251,0,2693,0,0,62072,51533,48200,43266,36402,36208,28885,23606,54917,49514,45560,43045,37773,32674,29559,25239,40948,42920,41164,37162,34590,30128,27331,24732,38691,37043,39691,37571,33839,31166,28134,25518,37697,35373,35083,36697,34756,29583,28332,25862,24503,12060,11936,5527,72548,34163,25538,12343,0,0,107.07,0,0,83.11,0,0,92.27,0,0,60.72,63657,17936,12411,28341,551,126213,17863,17092,16388,17753,17194,14419,13390,12114,38,57,63,86,64,49,67,44,43,55,37,59,53,34,36,37,154780,61203,125466,34797,9923,55078,1169,6905,0,703,7388,19917,259,160,1142,0,414,0,0,0,0,0,0,1590,1253,1262,1300,1106,819,789,593,13188,6489,6531,3322,56675,30882,27891,14812,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2314,REWA                                              ,204657,0,386,106732,268,1153,0,0,13105,118682,27544,1852,907,19397,596,0,193413,0,0,98253,0,0,0,0,9414,64228,13835,1097,481,7797,365,0,76348,67394,67417,63323,63397,53995,51018,41923,74042,70062,64277,64744,61921,51401,49127,48850,66362,71883,69416,64151,63638,53192,52694,50055,71166,66420,71434,68027,64195,57978,55411,54144,65686,68004,64140,69424,66727,58165,57975,55832,65027,33126,31223,17021,59013,27807,24924,13028,0,0,120.95,0,0,97.65,0,0,107.84,0,0,80.11,110979,55760,11891,60306,354,247710,31398,32285,30604,33551,32767,29214,29118,28773,42,56,49,71,73,41,36,45,26,37,40,65,51,36,32,38,297784,141082,219120,123057,27137,108554,1175,16836,596,675,2980,738,0,0,3714,0,156,953,0,0,0,0,0,575,561,566,682,656,365,332,296,8223,4244,3995,2213,120500,64379,58635,32780,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2311,SAGAR                                             ,192784,0,4347,126948,351,712,0,0,12529,70312,35563,1031,940,19956,337,0,172526,0,2637,109779,338,0,0,0,5884,30580,12890,160,138,7882,52,0,77089,72463,72737,70083,66607,66359,59411,46501,67061,68428,66011,66142,62058,61754,58614,53427,59343,66705,69522,66409,66641,59114,58432,56716,62047,54877,61674,63284,61630,60056,56215,55381,57920,58948,54003,60767,62329,59462,59209,56105,67578,40296,32282,19827,36312,17295,18293,9373,0,0,110.57,0,0,102.32,0,0,93.19,0,0,75.95,103508,30221,17298,67366,489,227263,27685,28325,25607,28851,29991,29345,29449,28010,462,189,222,371,367,243,230,237,147,157,158,288,294,202,192,191,247746,129730,204110,66279,25409,127733,940,18401,294,1158,4033,14501,195,338,2267,0,2138,456,0,51,0,0,43,1204,1139,1002,1199,1212,1004,794,679,9145,4726,4516,2432,157160,96091,75170,47794,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2313,SATNA                                             ,184685,266,697,112005,229,0,0,0,11112,89659,41298,1252,590,26557,123,0,169705,0,0,101158,229,0,0,0,8231,55157,5521,1129,182,11264,123,0,84540,78269,75086,70174,66615,64531,57845,43408,78984,76442,74690,71642,66395,60956,58950,55132,66495,71301,70784,68362,64268,58124,58319,56703,60962,58107,62957,62636,60912,59536,55639,56174,59917,58472,57081,62179,62496,59692,57963,55921,62404,36745,29853,18537,59435,28397,27808,14330,0,0,115.41,0,0,105.27,0,0,98.8,0,0,81.3,98954,40330,17703,61388,213,230090,28437,27600,26895,29975,30322,29511,29120,28230,184,207,241,357,363,202,193,225,104,119,179,246,198,138,183,151,256937,134053,194680,79211,24691,113221,724,21685,123,2123,13644,17304,4,0,4872,0,419,751,0,0,0,0,0,785,769,789,864,806,700,668,592,6818,3231,3293,1656,117226,71523,56055,35760,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2333,SEHORE                                            ,91560,0,615,56505,20,0,0,0,1746,57091,27512,67,56,14937,44,0,85018,0,0,51124,0,0,0,0,1507,41786,11870,67,56,6768,0,0,47092,43753,43868,43123,42555,37080,34155,29096,43072,43767,42259,43352,42872,38488,39051,36624,36103,33673,34186,33279,32993,31846,30704,29255,37873,33408,33240,33258,32994,32051,31939,31229,34451,33887,31796,31625,31820,30318,29863,30101,34112,20777,15802,10199,24702,11712,12134,6014,0,0,106.96,0,0,94.54,0,0,89.16,0,0,76.6,49219,24102,10867,31119,19,121171,16183,15872,14693,14965,15304,14686,14736,14732,43,60,59,71,71,57,60,68,27,55,76,63,62,49,52,64,136352,73150,95441,54539,22911,56506,56,11436,44,102,3615,5216,0,0,3501,0,192,216,0,66,0,0,0,22,41,46,53,39,30,22,18,15261,6694,7516,3624,80400,44817,37922,21835,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2344,SEONI                                             ,107292,0,643,84117,223,0,0,0,6294,24874,6890,986,41,7451,0,0,103932,0,0,80112,223,0,0,0,5910,19523,2671,986,0,3845,0,0,38818,35535,37017,37112,33804,38826,32286,25931,35557,35475,34551,36098,35265,34794,36288,30959,25105,31818,33909,33405,35103,34238,33812,34119,30342,23545,30935,33531,33521,34445,33814,32696,26717,28941,23228,30162,32520,32680,33561,32532,11968,8939,5840,4453,60205,29604,41936,21573,0,0,100.78,0,0,108.88,0,0,84.34,0,0,76.83,56645,11403,3458,44268,97,119096,13063,14283,11161,14584,15969,16305,16996,16735,130,129,131,189,178,153,156,171,90,88,87,127,129,104,120,130,118477,69701,111332,19976,5356,84924,264,6486,0,1390,4985,2177,0,0,965,0,748,1334,0,179,0,0,0,1283,1226,1008,1271,1315,1473,1492,1366,6933,4254,3279,2327,58427,40771,28468,20525,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2316,SHAHDOL                                           ,99690,0,0,62329,0,0,0,0,24479,765,0,12486,0,0,0,0,93672,0,0,56928,0,0,0,0,9639,251,0,4521,0,0,0,0,32977,30143,28948,29831,29067,28599,23340,18854,30564,28986,27941,27802,28678,28432,25343,22232,25381,28278,28206,27273,27087,26475,26840,24225,25954,23601,26940,26837,26207,25401,26116,26133,25007,24961,23185,26375,26231,24889,24861,25384,11759,6965,5616,3543,62605,30865,36424,18627,0,0,107.04,0,0,97.48,0,0,89.21,0,0,75.88,60734,314,0,37793,0,98841,12195,12021,11233,12640,12943,12457,12465,12887,61,76,99,160,127,84,77,85,46,70,68,101,85,62,70,64,104809,58488,116009,765,0,70774,0,0,0,8335,0,0,3879,0,0,0,663,0,0,270,0,0,0,83,60,58,77,62,114,138,147,3748,2314,1721,1077,36855,22601,17650,11274,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2322,SHAJAPUR                                          ,100780,0,411,61065,79,0,0,0,12000,66842,18065,189,0,19507,242,0,91643,0,0,53356,79,0,0,0,9532,42887,4786,189,0,10340,202,0,46821,42728,41769,40318,36400,32630,26824,21114,45753,42468,40490,39434,37314,32506,29779,24931,41131,43341,42098,39896,37275,33794,30680,27683,41167,39644,41631,40669,36216,33224,31878,28834,37570,36377,36550,38143,37241,32808,33040,31125,48415,25543,23642,12623,6313,3156,3434,1710,0,0,106.13,0,0,90.3,0,0,85.86,0,0,65.97,61688,27363,6472,34797,29,137857,17793,17501,17565,18777,18479,16334,16303,15105,58,96,94,98,100,69,68,65,49,62,68,72,97,63,54,72,150378,70844,108744,53941,11252,59685,79,16009,242,1644,12703,7224,0,0,3082,0,2906,940,0,1569,0,488,0,822,715,628,639,530,698,629,638,20288,9036,10229,4698,102237,52700,49386,25654,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2301,SHEOPUR                                           ,77652,0,0,41244,0,301,0,0,1069,23914,2184,53,0,2327,0,0,73835,0,0,37895,0,301,0,0,995,12097,462,53,0,710,0,0,28318,24381,24234,22607,20232,17236,14196,9940,26018,25079,22898,22618,20375,16418,13936,12435,22485,24662,24339,22166,22390,17720,15928,13942,23857,21570,23836,23473,21873,19806,17176,15578,22288,22175,20838,22707,22457,17846,18244,16239,15483,8344,7038,4077,29941,14214,14292,6969,0,0,126.16,0,0,97.48,0,0,107.35,0,0,72.81,42880,11473,858,21938,0,78122,10424,10273,9562,10993,10942,8907,9033,7988,40,93,91,93,62,38,70,46,28,58,68,30,40,45,47,41,93997,39085,87107,24462,2184,41651,0,1585,0,180,4096,0,0,0,879,0,0,0,0,301,0,0,0,427,431,425,516,443,436,476,332,13053,3044,6580,1576,55594,25694,26499,12971,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2306,SHIVPURI                                          ,203523,0,997,113247,229,0,0,0,11895,44108,24886,847,367,17766,22,0,191613,0,0,104864,229,0,0,0,7266,15096,5562,33,0,5878,0,0,73295,69945,70039,66085,56070,48021,39668,29437,63251,62111,61445,59974,56051,45258,40024,35233,51801,60441,59748,58338,56898,48420,43266,39127,57897,49511,58417,57757,57618,52495,47692,42244,57843,57781,49526,56624,55029,49952,49269,44080,53887,29313,24979,14428,53204,24593,22127,10542,0,0,125.42,0,0,106.38,0,0,98.65,0,0,75.75,104818,18105,9558,58631,180,197953,26582,26226,22768,26461,26381,24470,23846,21219,84,111,123,173,144,159,149,118,47,77,91,105,88,99,94,100,217739,102033,215480,43663,19261,113694,596,16816,22,362,1359,6482,323,0,950,0,0,879,0,77,0,0,0,1229,1126,981,1115,1210,1054,1139,1002,2113,1047,969,533,141353,76926,65791,37438,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2317,SIDHI                                             ,129982,0,685,71819,658,0,0,0,4514,36440,5421,0,190,4030,0,0,126320,0,0,68980,658,0,0,0,4268,26008,2077,0,190,241,0,0,47871,41245,39973,38213,35512,31587,28856,23547,40653,38426,34992,33710,33316,29628,27244,26224,34512,38126,37370,34212,33511,31274,28771,26570,38517,32224,35742,35235,32418,30061,30115,27811,35734,34414,30769,34336,33761,29405,28503,28453,24484,12661,11491,6807,53154,25095,25440,13597,0,0,115.31,0,0,95.6,0,0,99.44,0,0,73.08,66583,14589,2687,39588,413,125542,16935,15899,14496,16573,16379,15043,14755,15462,82,113,94,124,153,100,79,72,70,61,77,100,99,81,61,59,145753,66022,135114,34309,4256,71819,848,2970,0,130,2875,1850,0,0,1060,0,78,66,0,0,0,0,0,2367,2258,2076,2254,1970,1126,1078,1146,4229,2010,1980,1086,64084,33178,30585,17297,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2350,SINGRAULI                                         ,146843,0,1216,74817,0,0,0,0,2427,31636,17970,0,0,3598,0,0,137189,0,0,69778,0,0,0,0,1940,21656,2599,0,0,1927,0,0,48971,42185,41918,42194,38044,30130,26139,20207,44377,43046,38085,37577,39842,31589,27594,25711,39188,42674,41011,37448,38499,34070,28973,25916,38095,36920,41015,41256,36616,30445,32893,28477,39547,36318,34371,37987,38009,31267,30411,32017,26369,13316,12568,6813,72949,34837,32726,17164,0,0,119.56,0,0,96.14,0,0,95.12,0,0,76.13,73741,12652,9043,40630,0,137534,18819,16896,16187,18608,18658,15861,15534,16971,50,67,82,85,84,49,48,64,54,48,51,59,67,42,46,57,148164,74198,149726,31750,13528,74817,0,3598,0,0,207,5658,0,0,0,0,227,416,0,0,0,0,0,1403,1340,1311,1484,1442,857,881,931,4637,2068,2162,1062,70164,37883,33713,19510,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2308,TIKAMGARH                                         ,184977,0,0,102981,240,0,0,0,14562,37744,0,1058,0,0,0,0,170470,0,0,92611,240,0,0,0,5590,12303,0,231,0,0,0,0,49886,50702,48615,46041,44993,35589,31611,25898,50085,49094,49597,47514,47031,37136,31832,30016,46180,46876,45224,45968,44706,40279,35555,30644,46254,46012,48600,47826,50006,36949,36655,32610,44188,48179,46772,46967,46367,37877,36481,35919,57951,29433,26769,14883,13573,6646,5466,2926,0,0,129.91,0,0,99.11,0,0,126.07,0,0,98.52,94825,15559,0,53266,79,163729,20484,22238,21455,21813,22013,18985,18344,18397,428,166,103,205,229,106,97,85,116,68,72,203,84,75,84,75,225596,109619,199829,36224,0,103586,0,0,0,208,1673,0,0,240,0,0,0,0,0,403,0,0,0,231,338,340,371,577,210,124,128,8945,10092,509,386,143698,68011,66704,34333,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2321,UJJAIN                                            ,107865,22,1038,61968,219,0,0,0,19694,75762,53291,2840,66,32341,117,0,93065,0,0,51207,219,0,0,0,9196,39695,10895,1028,0,13282,0,0,61898,54255,52699,50614,44585,42168,34659,27606,57049,52965,49351,47315,44912,41476,37911,32189,50213,53442,52307,49608,46890,42463,39508,36345,50164,48400,51010,49705,46099,41991,39713,36338,49119,47016,45896,48327,47568,42303,41017,39215,70526,35374,33668,16787,7450,3402,3132,1546,0,0,113.7,0,0,93.74,0,0,92.61,0,0,68.45,67672,33266,22937,35021,94,172216,23001,22422,21778,23342,23173,20529,19591,18380,168,160,176,196,168,130,116,104,75,107,118,164,128,100,85,88,193802,89479,112575,63291,27366,55435,66,24762,117,1696,12071,26643,540,219,7443,0,10822,101,320,7929,0,0,0,1412,1415,1369,1454,1474,1104,986,858,25853,12680,12640,5927,107748,54625,52004,26214,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2315,UMARIA                                            ,67516,297,0,38269,395,0,0,0,7018,7911,5911,2212,208,2689,262,0,63511,0,0,35996,183,0,0,0,4161,5743,2250,608,0,1672,127,0,23143,20190,19706,19293,18455,16236,13853,11654,20648,18729,17125,16862,17005,16814,15102,13077,17753,19054,17724,16346,16642,16905,16731,15144,16961,16930,18790,17562,16149,17097,16721,16426,15382,16161,16533,18272,17213,16430,16663,16034,8087,4952,3798,2409,44895,21902,25261,12559,0,0,107.41,0,0,102.47,0,0,96.05,0,0,78.7,36595,3458,2508,20594,253,64709,7491,7856,7917,8873,8278,8073,8220,8001,53,57,77,73,77,61,55,55,43,52,53,68,59,50,53,55,74724,37731,73068,6410,4367,40457,53,2343,262,1466,1798,1544,19,550,346,0,0,0,0,5,0,0,0,54,66,47,64,66,35,43,52,945,627,441,304,22190,14170,10717,6926,,,,,,,,,,,,,,,,
23,MADHYA PRADESH                                    ,2331,VIDISHA                                           ,146226,0,293,79943,217,0,0,0,3354,43422,24569,78,163,11463,0,0,134592,0,0,72800,217,0,0,0,2006,20213,6149,0,30,4168,0,0,55473,51394,48642,44888,43141,34242,29690,18966,52612,49810,47512,44478,41824,35684,31121,27799,40095,48389,47413,45255,41606,37248,34225,29228,41555,38559,45754,44386,42241,38136,34824,31531,40036,40593,38445,45308,43931,39624,36890,33434,48311,26449,23253,13388,17375,8388,6749,3347,0,0,111.2,0,0,98.21,0,0,90.59,0,0,71.77,75945,21726,10987,42858,148,157077,19503,19410,18554,22390,21593,20065,18544,17018,67,103,108,193,169,106,97,89,50,65,84,140,126,83,74,73,169706,80350,151230,45622,23738,79802,380,10281,0,553,3015,1124,324,0,1182,0,150,842,0,0,0,0,0,1789,1670,1552,1864,1767,1826,1673,1504,21143,8778,10285,4600,109581,58170,53449,29599,,,,,,,,,,,,,,,,
