01,Jammu & Kashmir                                   ,0113  ,JAMMU                                             ,19135,28622,28279,95,816,0,8477,37106,108835,0,224,0,16460,22958,18500,95,759,0,5722,23592,51801,0,224,0,29822,27657,27363,29568,28704,27698,27006,26778,32081,29722,29509,29305,29265,28606,27507,26381,33624,30832,30584,30467,30445,30276,29329,28846,34850,31379,30952,30887,30591,30138,30766,29509,32654,30035,28891,28082,28410,27651,27895,27971,35870,21352,16679,9983,9144,4355,4928,2223,90.66,92.34,0,85.47,90.62,0,73.24,74.48,0,63.49,66.99,0,13409,30546,60380,95,272,104702,14863,13587,13028,12739,12838,12471,12561,12615,39,35,42,46,47,39,37,57,31,45,36,40,46,38,24,39,130030,65443,27132,65452,136773,95,1040,160,111,341,0,0,320,165,0,0,0,0,0,0,0,0,0,0,0,0,0,208,124,104,108,100,240,316,724,6163,3064,2901,1348,8554,4774,3832,2234,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0108  ,KARGIL                                            ,2714,9398,901,164,756,0,1117,2887,3477,0,62,0,2603,8990,901,164,661,0,842,1756,1212,0,0,0,3040,2933,2828,2599,2586,2444,2370,2282,3308,2996,3003,2664,2339,2584,2453,2329,3103,3030,2930,2925,2947,2507,2344,2269,3367,2949,2831,2824,2852,2584,2336,2378,3508,3030,2675,2534,2600,2577,2364,2188,0,0,0,0,14249,7272,7102,3738,115.62,114.88,0,91.62,97.41,0,111.48,97.31,0,80.34,68.75,0,2007,6735,1805,164,362,11073,1736,1531,1380,1304,1369,1380,1240,1133,41,62,54,58,57,57,55,38,33,47,57,48,63,61,44,45,12601,5497,3831,12186,4378,164,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,2,0,0,0,0,11782,6113,5900,3141,0,0,0,0,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0114  ,KATHUA                                            ,18722,29114,11068,183,576,0,3432,12119,22807,0,0,0,17868,27087,9560,128,576,0,2978,11016,13788,0,0,0,12348,11081,11154,12786,12500,11265,11195,10557,14096,12907,12774,12813,13209,12565,11003,11274,14154,12765,12936,12863,12976,13320,12204,10978,15028,12234,12185,11839,12445,12727,12606,12258,14005,12768,11839,11462,11681,11839,11933,12494,15851,9496,7424,4347,6783,3032,3153,1299,110.3,107.13,0,101.87,108.82,0,89.61,87.27,0,74.61,80.97,0,11041,18516,13811,183,230,43781,6377,5720,5325,5108,5182,5166,5303,5600,71,65,83,82,85,86,49,65,40,57,35,53,36,43,29,28,51538,26872,22154,41233,33875,183,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,260,364,144,304,734,604,1028,5729,2783,2535,1238,4603,2775,2014,1295,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0117  ,KISHTWAR                                          ,10516,19968,5994,379,392,0,2148,3920,3598,0,0,0,10377,19147,5378,379,392,0,1879,2708,2290,0,0,0,5266,3871,3951,5097,3895,3113,3048,3020,8220,6129,5797,6102,5380,3882,3277,3218,7729,5711,5361,5500,5675,5030,3942,3335,8729,6026,5522,5500,5676,5200,4819,4012,8508,6688,5880,5378,5348,4890,5197,5026,1664,1002,778,515,4557,1887,1827,623,,0,0,,0,0,,0,0,,0,0,6067,10669,4426,340,157,21659,4003,3126,2697,2499,2491,2186,2371,2286,111,68,85,53,55,29,20,8,104,53,60,51,50,22,10,8,26226,11322,12664,23888,9592,379,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,52,18,6,18,10,70,152,15806,7387,7513,3349,976,721,520,394,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0120  ,KULGAM                                            ,9386,27254,2431,236,1246,0,2506,11942,8838,0,0,0,8709,25426,2341,191,1202,0,1729,9833,6612,0,0,0,9061,8049,8034,8076,8343,7607,7420,6813,9635,8882,8920,8872,9143,7847,7601,7703,9841,9133,9396,9352,9372,8753,8380,7726,15073,9382,8362,8290,8674,8988,8655,8575,10386,8211,7670,7242,7548,7586,7650,7546,48,24,19,6,3288,1564,985,441,,0,0,,0,0,,0,0,,0,0,5928,19765,4744,178,455,31070,5065,3991,3673,3552,3652,3690,3791,3656,68,46,71,62,65,63,64,53,50,53,42,44,48,50,54,37,29706,16178,11892,39196,11269,236,1246,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,30,42,26,34,42,18,26,40637,22676,19748,11152,10493,5568,5117,2700,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0101  ,KUPWARA                                           ,26485,56587,3421,592,3372,0,6468,20564,7970,0,0,0,26056,55779,3302,592,3372,0,6099,18631,4843,0,0,0,14742,14019,13082,12841,13455,11413,10884,10890,17268,16301,16509,15447,14192,12872,11383,11182,18239,16791,15981,15953,15619,13098,12803,12029,19163,16631,15491,14840,15607,13686,13126,12837,20529,17116,15772,14851,14965,14663,13879,13684,0,0,0,0,8415,3952,3460,1480,117.27,116.2,0,89.53,97.08,0,94.86,82.87,0,64.53,67.63,0,16365,37721,4608,440,1538,60672,9929,8324,7602,7144,7329,7215,6744,6385,136,135,122,119,138,117,108,97,96,78,88,71,98,82,60,51,62352,30344,32953,77151,11391,592,3372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,96,84,36,130,86,102,176,83206,42183,40322,20327,23210,11654,11469,5767,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0107  ,LEH (LADAKH)                                      ,1480,3357,2816,129,586,0,315,2260,5055,0,0,0,1437,2904,2519,129,586,0,199,1557,2041,0,0,0,1909,1901,1844,1920,1804,1882,1676,1679,2117,1925,1839,1822,1904,1943,1681,1640,2211,2072,1928,1866,1853,1932,1790,1575,2130,1964,1989,1813,1825,1926,1922,1664,2222,2055,2024,1990,1869,1938,1919,1981,0,0,0,0,8805,4189,5104,2583,78.23,76.68,0,69.37,74.87,0,74.21,72.98,0,58.33,64.25,0,749,2777,3862,102,254,7744,1015,963,990,958,884,956,952,1026,2,8,6,8,6,10,4,4,3,5,7,6,4,6,5,4,9673,5283,1795,5617,7871,129,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,74,80,56,40,94,120,1666,943,808,474,0,0,0,0,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0105  ,PULWAMA                                           ,12153,18471,2170,668,2006,0,1898,17500,19721,0,0,0,11723,17552,2025,648,2006,0,1352,13961,12084,0,0,0,8514,8418,8396,9441,9838,8985,8766,8194,10455,9875,9958,10257,10579,9391,8909,8579,10862,10120,9973,10285,10645,9284,9239,8703,11056,10224,10011,10185,10516,8850,9434,9010,12419,9755,9179,9073,9240,8070,8214,8637,0,0,0,0,3724,1752,1627,671,73.43,73.67,0,64.05,66.6,0,57.8,55.84,0,44.46,46.97,0,7325,17672,9778,481,963,36219,6022,4751,4490,4432,4462,3952,3947,4163,70,75,63,48,46,48,61,52,54,39,36,44,27,49,50,29,36375,17621,14051,35971,21891,668,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,4,12,18,4,12,49121,24728,23869,11971,4456,1971,2255,959,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0111  ,PUNCH                                             ,26394,38450,7116,373,779,0,5533,11622,9625,0,0,0,25978,37612,7116,373,779,0,5170,11277,5956,0,0,0,11822,9212,8582,12329,10634,8999,7712,7729,14810,14244,13287,13360,12907,10000,8855,8580,15838,13429,13179,12460,12827,11598,9938,10359,16721,14661,13656,13145,12939,10561,11358,11026,17146,14564,12454,11356,11411,10259,10630,12072,41,31,18,14,29744,14595,14419,6701,167.89,176.49,0,131.41,140.8,0,129.26,131.48,0,93.29,101.05,0,16017,24138,7329,261,265,48010,8312,7096,5958,5450,5565,4977,4985,5667,20,50,32,34,27,31,39,26,12,27,25,14,20,17,21,16,48181,24083,31890,50072,16741,373,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,176,232,132,198,110,102,546,64469,31626,31257,15028,5615,3040,2698,1521,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0112  ,RAJAURI                                           ,28625,46284,10408,247,1231,0,4590,10734,18297,0,59,0,28029,44815,10074,247,1017,0,4095,8891,10642,0,59,0,14399,12344,12398,15975,13559,11659,10927,11596,19402,17062,16031,16523,15337,12784,11019,12283,18548,16099,15559,15048,15953,14183,12328,13386,22513,16452,14594,13445,14093,14037,13935,12897,21563,18056,14781,13104,12956,12613,13274,14128,5228,3238,2439,1564,36723,17714,16139,7313,155.19,155.17,0,126.74,134.66,0,121.12,111.27,0,89.58,91.55,0,16691,26781,12298,185,519,56474,10342,8530,6921,6138,6146,5936,6097,6364,58,67,38,54,47,66,73,87,39,46,42,29,34,52,70,78,58410,28377,33215,57018,28705,247,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,138,182,68,178,272,192,720,57947,25979,28078,12074,4316,2369,2066,1201,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0118  ,RAMBAN                                            ,14587,23051,5805,210,345,0,2366,3819,2417,0,0,0,14391,22330,5511,210,345,0,2212,2810,1273,0,0,0,5646,4806,4935,7394,5352,4231,3873,4090,7978,7483,7313,8148,7508,5085,4141,4361,9308,7722,7343,7148,7871,6597,4888,4288,9259,7314,6299,6067,6171,6333,6472,5093,9077,7793,6422,5715,5666,5441,6052,6434,1286,683,601,298,4373,1947,1868,712,,0,0,,0,0,,0,0,,0,0,7961,11972,3621,210,145,23909,4249,3618,2892,2592,2614,2421,2658,2865,40,45,42,37,22,15,32,20,23,27,35,31,17,30,38,20,25803,12767,16953,26870,8222,210,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,62,34,52,42,68,50,80,23110,11393,10507,4959,684,431,335,195,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0121  ,REASI                                             ,17854,27336,7732,62,346,0,1383,5007,2762,40,0,0,17613,26779,7463,62,346,0,1278,3934,1250,0,0,0,5800,5020,5176,8975,6467,5327,4835,4729,9813,9552,9405,8161,8559,6108,5131,4973,13012,8566,8471,8842,8232,7843,5917,5304,10844,9133,8294,8121,8494,7500,7663,6454,9651,8859,7922,7026,7322,6795,7066,7881,4247,2405,2063,1155,13722,6581,6156,2716,,0,0,,0,0,,0,0,,0,0,9358,14657,4999,62,144,29220,4544,4220,3751,3329,3484,3112,3320,3460,22,17,24,26,23,19,20,19,11,18,14,14,12,9,10,6,31180,15797,19237,32343,10494,102,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,74,58,26,66,114,98,316,20935,9626,9962,4246,1644,1435,809,724,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0122  ,SAMBA                                             ,4088,8401,5155,0,706,0,2053,9339,19072,0,0,0,3897,7324,4811,0,706,0,1943,8231,13682,0,0,0,6930,6051,6021,6269,6503,6275,6249,5909,7852,7246,7127,6806,6611,6826,5966,6127,7575,7129,7234,6973,6809,6427,6613,5976,7209,7300,7111,7121,6959,6320,6385,6304,6955,6458,6171,5858,5999,5777,5692,5904,9806,5647,4460,2553,2223,972,920,380,,0,0,,0,0,,0,0,,0,0,2986,8032,10120,0,323,21461,3066,2846,2766,2594,2577,2561,2488,2563,12,9,15,16,19,9,7,15,3,7,6,8,9,8,3,9,27087,13022,6029,17740,24227,0,706,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,20,12,22,56,100,298,1496,654,651,283,3034,1716,1405,792,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0115  ,SHOPIAN                                           ,9063,9920,1582,247,1170,0,1501,8810,10021,0,28,0,8935,9920,1484,122,1170,0,1435,8570,7440,0,28,0,5432,5338,5261,5737,5814,5071,4578,4316,7199,6563,6497,6352,6099,5277,4895,4731,7681,7075,6597,6738,5981,5581,5612,4895,6318,8078,7684,7029,5994,5969,5799,4969,6585,5409,5232,5038,5047,4995,5003,5033,0,0,0,0,3134,1442,1083,515,,0,0,,0,0,,0,0,,0,0,5584,9180,5243,155,578,20740,3271,2611,2485,2501,2513,2440,2527,2392,78,27,31,31,32,38,29,36,53,23,21,23,24,16,25,15,20453,11033,10564,18730,11603,247,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27311,15031,13381,7359,0,0,0,0,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0103  ,SRINAGAR                                          ,3891,15820,4944,60,509,0,2673,29808,65000,0,0,0,262,553,348,0,0,0,89,1006,334,0,0,0,12295,11933,11920,11862,12094,11220,10924,10580,15427,15693,15682,15409,15195,14327,13797,13549,16008,15368,15481,15718,15262,14649,14468,14108,16222,15702,15612,15631,15306,14667,14590,14510,16385,16052,15483,15394,15373,14715,14659,14644,0,0,0,0,1396,610,711,281,59.79,60.35,0,55.19,57.96,0,54.11,56.4,0,48.11,52.09,0,3302,21942,34330,60,213,59847,8000,7682,7598,7505,7607,7185,7169,7101,49,43,40,35,42,49,46,36,28,22,31,39,36,40,37,18,73845,40010,6564,45628,69944,60,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,14,6,8,6,10,4,77807,43335,37976,21108,698,431,311,194,,,,,,,,,,,,,,,,
01,Jammu & Kashmir                                   ,0110  ,UDHAMPUR                                          ,19055,35108,17259,230,428,0,2229,7621,12999,0,0,0,18790,34105,14425,230,389,0,1917,6258,7402,0,0,0,11173,10347,10557,13463,12764,10807,9657,9559,13446,12112,12569,12926,13156,12470,10312,9915,12658,13551,12820,12953,13120,12805,11803,10577,13992,13003,13048,12196,12877,12146,12125,12080,12955,12592,11316,11296,10909,11414,11492,12955,16286,9098,7570,4039,6593,3020,3797,1527,80.87,80.98,0,72.65,77.85,0,66.09,66.57,0,51.16,54.57,0,10105,19697,13061,230,177,43270,5905,5892,5177,5246,4879,5126,5224,5821,43,58,38,55,60,62,44,70,27,25,28,46,29,36,43,46,48377,24730,21195,42729,30258,230,428,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,184,232,84,150,706,620,2166,5942,3355,2655,1397,2381,1577,1106,736,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2013  ,BOKARO                                            ,83453,163053,29727,0,3238,0,1544,9621,44060,0,3778,0,75059,145619,19852,0,1926,0,1197,4349,20382,0,3415,0,74248,58584,52175,50473,46959,33708,29014,24836,64718,52771,53027,48616,46825,40318,33700,29796,55430,44642,45187,45541,42514,38013,36592,30674,52265,47017,46179,46256,47277,38973,38840,37597,53805,47607,48909,47741,48460,44451,41749,42912,38139,18436,18586,9345,39553,19530,16526,8408,106.66,112.51,0,73.69,80.95,0,92.8,100.5,0,58.96,69.14,0,45211,98608,36959,0,4434,185212,25777,23152,23698,23264,24086,22388,21111,21736,250,165,180,193,195,158,157,165,137,108,144,141,134,127,145,123,216621,108349,84862,172271,42272,0,7736,2679,18187,41352,0,180,1932,2536,1492,0,135,0,656,0,0,0,68,0,0,0,0,6548,1254,696,544,514,158,142,454,30114,15347,15073,8380,142581,78958,69860,40280,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2003  ,CHATRA                                            ,91071,145938,10214,0,1109,0,140,2486,4067,0,696,0,90270,140623,10214,0,1019,0,140,1091,1648,0,561,0,61464,50657,43254,37949,31462,17497,13703,10266,56165,45857,44450,38832,34536,22300,15762,12745,55544,46693,45381,43748,39482,25963,23008,18970,45401,41432,39845,37851,36436,23984,21956,19578,43819,39748,39834,38272,36367,24869,22618,20983,79021,19244,38275,8946,12001,5720,3490,1742,237.04,212.49,0,106.82,103.23,0,210.63,181.98,0,93.27,86.87,0,45570,76273,7641,0,1391,130875,21470,19518,19408,18720,17752,12367,11180,10460,469,293,256,309,305,135,133,147,261,196,175,169,163,90,85,85,170628,57180,90797,144195,13292,0,1876,827,3432,2807,0,0,787,4805,798,0,0,33,1965,211,0,0,0,313,0,0,0,9102,2480,1602,1376,1390,536,324,396,19006,8471,9530,4786,92770,39632,46025,20248,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2007  ,DEOGHAR                                           ,107864,162157,9613,1544,2427,0,196,4432,9756,0,901,0,104108,146684,9613,1544,1157,0,196,1981,3266,0,121,0,80566,61392,52691,46040,37737,23951,20059,14826,67795,55402,53289,46250,41120,27679,21922,18688,56952,47872,47176,44504,39339,29076,23896,19822,53091,47314,46822,44348,42583,30905,27612,23816,51383,43615,42992,42110,40793,32303,28735,26035,30432,11390,14607,5168,29769,14605,8840,3834,164.46,168.14,0,77.72,88.09,0,142.86,149.3,0,65.54,67.35,0,55546,82420,8750,691,1556,148963,25147,21304,21046,20984,19883,15580,13318,11701,215,190,223,236,230,136,158,128,130,150,170,176,156,116,112,99,195434,73866,104113,155692,10574,859,2606,1931,2209,8628,0,0,1441,3477,531,0,0,180,0,510,0,0,0,0,0,0,170,5844,2270,1608,1298,1280,762,660,578,49078,15376,23710,6836,136048,55135,67847,26359,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2012  ,DHANBAD                                           ,105404,197356,9435,612,1933,0,893,16818,48968,336,2208,0,79254,139300,7566,505,966,0,611,1746,13166,336,629,0,80960,66497,59819,55846,47660,34413,28940,26460,73150,59169,58910,53226,51585,38621,32287,27514,61596,48727,47287,47228,44819,38202,32693,28943,64720,64635,62463,61623,61906,48221,46190,41948,66259,59423,62495,60385,60728,52818,49497,50320,62184,25496,31373,13218,35835,17727,14544,7252,84.64,110.09,0,51.82,70.93,0,75.01,99.52,0,44.58,59.36,0,61157,129337,41299,421,2640,234854,32705,29745,31345,30405,31256,27410,25727,26261,177,129,204,169,165,133,120,125,122,118,134,135,142,131,115,78,282025,130539,110272,192712,36462,948,4054,461,23944,28403,0,0,403,3616,10054,0,40,3376,6429,678,0,0,583,5902,0,0,374,6262,2626,1848,1712,1556,872,676,692,42887,22690,21916,12224,160438,84697,82157,44853,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2011  ,DUMKA                                             ,95173,133409,12572,1106,5075,0,432,2776,5242,0,1319,0,94123,129077,12572,1106,4918,0,30,2445,4372,0,1144,0,69550,54718,46746,39549,31834,20459,14650,10220,58951,47416,43859,38267,33369,21892,17093,12761,52932,43890,41621,38204,34519,23369,18478,14458,47191,44040,42328,39367,36714,25895,21415,16981,43894,39710,40907,38971,36804,27081,23898,19748,12478,4073,6061,1827,94897,46117,29581,15138,97.53,99.7,0,39.82,45.56,0,81.89,85.35,0,31.4,33.63,0,49745,69594,9480,507,3808,133134,21047,19427,20047,19303,18251,13478,11805,9776,167,119,132,119,125,100,92,64,92,96,102,102,115,73,73,60,172610,58290,91219,125983,13000,1106,6045,1488,2465,5415,0,0,1065,2738,727,0,0,1306,723,529,0,48,324,996,0,0,0,4444,1504,1194,878,966,686,618,732,16186,5268,8058,2572,88315,35292,43793,17358,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2001  ,GARHWA                                            ,93599,169356,24682,339,1245,0,0,2049,0,146,976,0,91964,163049,24682,339,1155,0,0,1901,0,146,976,0,78344,61265,52512,47368,35762,22102,17590,13745,69138,56347,52726,44575,41713,29543,20607,16034,64735,51097,48528,46280,41304,33467,25965,18161,49833,49849,46778,44372,42796,33953,32118,25510,41810,40590,43915,41325,39995,34000,30773,29621,54929,23488,26824,11595,41131,20244,15093,7636,197.73,188.81,0,93.24,110.28,0,164.29,169.48,0,75.75,94.18,0,47555,87838,12703,277,1805,150178,20443,20032,21741,20455,19918,17201,15605,14783,128,147,145,162,156,131,124,115,74,112,117,113,117,84,98,111,184475,79573,94342,173975,25503,242,2607,786,2642,721,243,0,195,680,0,0,0,0,0,0,0,0,0,0,0,0,0,6782,3100,2138,1722,1412,726,684,632,32130,14902,16116,7680,101030,50858,50352,25765,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2006  ,GIRIDIH                                           ,169599,280767,20830,0,1733,0,419,2330,8741,101,2769,0,167091,273057,20830,0,1666,0,226,2330,932,0,2769,0,159859,105237,92353,83879,71176,34886,25941,17592,146683,85193,77179,67158,59902,38600,28098,18304,128948,85598,74461,66506,59293,41404,33536,22620,120676,91696,84088,74896,68403,41996,39128,31958,104636,76444,77858,72649,64694,47377,41946,36809,58893,16036,28791,7537,57124,27280,12493,5516,177.01,193.23,0,63.74,74.04,0,160.45,169.69,0,50.75,58.83,0,87606,151475,16093,57,3368,258599,51902,37787,38789,35901,32160,23640,20666,17754,357,288,286,234,226,125,98,107,214,155,177,166,123,98,68,71,357320,109420,171025,292223,29131,101,5624,1082,3567,3818,0,0,615,2867,386,0,0,2585,9939,4743,0,937,357,846,323,0,100,19284,2422,1236,772,608,424,258,136,76030,19868,37610,9928,248727,84854,125727,43166,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2008  ,GODDA                                             ,88891,138723,16716,1469,849,0,0,15659,10348,343,827,0,87626,135799,16448,1469,849,0,0,15392,8411,343,827,0,62021,52426,44791,39885,33581,19586,13751,10100,57046,49707,47051,39931,35573,22073,16230,12283,50619,45763,43851,40250,34032,23119,19304,15284,43012,45444,44496,41690,38502,24203,21195,18022,43031,41042,43897,42564,40120,27156,23192,20252,19816,7405,9468,3454,51399,24178,11049,5189,166.36,170.2,0,68.52,75.46,0,151.63,149.98,0,61.41,64.74,0,44198,75417,13314,811,1426,135166,20803,19811,21319,20602,19288,13056,10894,9393,133,150,168,160,160,132,100,88,80,59,98,94,108,106,68,76,186171,61034,84862,137205,19458,1812,1711,1854,12614,5642,0,0,118,835,1474,0,0,52,0,1697,0,0,0,0,0,0,0,3118,1980,1248,1014,976,320,270,160,51108,17646,24697,7732,133899,49710,65649,23421,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2016  ,GUMLA                                             ,56768,97761,5864,0,2495,0,19021,19874,1964,224,8472,0,55979,94640,5864,0,2407,0,16509,19187,852,224,5687,0,68533,41343,37603,33366,27920,18777,16007,12289,64681,35589,34033,31705,29551,21844,18068,14444,60755,31884,29236,28134,26553,20850,17579,12603,56798,34050,30725,28827,27767,22288,20430,17069,54320,32171,30162,27131,26325,21031,20460,18551,9766,3111,4886,1519,124177,61451,41761,21564,106.54,110.71,0,47.15,55.35,0,81.69,85.38,0,36.2,42.59,0,39884,61755,6928,114,6545,115226,26782,15965,15014,13445,13133,10804,10594,9489,171,100,80,100,87,103,64,58,163,83,87,81,97,123,66,57,134688,48294,78367,118673,11858,224,12617,1808,1855,2972,0,0,226,1551,0,0,0,203,322,65,0,90,0,115,0,0,0,12956,1898,902,642,636,316,248,182,7276,2986,3687,1622,29441,12754,14710,6643,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2004  ,HAZARIBAG                                         ,90532,161917,22216,0,1656,0,1712,7940,25762,507,3617,0,87470,158298,21999,0,1354,0,1396,4402,9614,507,2462,0,107393,80211,73785,68774,64232,43770,35926,30152,70543,51925,49616,45439,43359,33959,28634,23958,68159,50321,48196,45878,43030,33352,31673,26685,56620,49330,45882,43653,42125,34046,32554,30903,52970,44372,45059,42521,40776,34876,32623,31042,50907,17271,25331,8642,22547,11190,7001,3379,91.2,87.31,0,50.1,53.38,0,81.37,78.14,0,42.69,48.66,0,47625,89259,25381,162,2867,165294,26157,22369,23107,21796,21132,18012,16707,16014,246,185,215,200,216,150,142,158,174,144,164,175,170,130,126,135,203849,86573,91122,163551,36651,507,5607,60,1260,16735,0,0,1393,6249,1125,0,204,49,0,920,0,0,75,0,0,0,0,7682,2574,1580,1242,1340,922,768,674,33192,13949,16641,7310,136856,66176,70811,35038,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2019  ,JAMTARA                                           ,44937,90790,4677,0,2608,0,84,884,373,0,137,0,43797,85934,4126,0,800,0,54,884,130,0,137,0,37137,30705,25668,21613,15963,10207,8229,6090,35015,30532,28508,24070,20541,12046,9919,8517,31750,28626,28261,25909,22110,13317,10369,8306,26754,25698,24561,22706,20688,13377,10597,8388,22204,20804,22123,21398,20663,16697,13896,12506,11135,4629,5367,2094,35708,17312,13976,6472,,0,0,,0,0,,0,0,,0,0,22893,46129,2610,0,898,72530,10924,10115,10769,10588,10078,7939,6490,5627,96,106,119,100,103,94,56,41,72,71,80,75,76,66,55,34,105661,41664,43714,86077,5179,0,2745,1410,6198,326,0,0,266,1253,539,0,0,0,1587,0,0,0,472,397,0,0,0,1260,810,746,570,484,290,252,240,24585,7616,11936,3450,56226,22689,27803,10714,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2023  ,KHUNTI                                            ,29079,36477,8180,0,1340,0,7928,13547,2423,986,3484,0,28510,34835,8180,0,1266,0,7561,11687,155,986,2615,0,0,0,0,0,0,0,0,0,29230,19624,18279,16566,15468,9905,8788,7239,25179,14795,14048,13093,12288,9755,8242,6715,25218,16810,15325,14190,13896,10703,10027,8784,24045,17418,15546,14145,13600,11093,10212,9839,5757,2229,2803,1015,65170,31871,22651,10998,,0,0,,0,0,,0,0,,0,0,19698,27653,5751,671,2769,56542,11598,8541,7649,6958,6611,5483,4881,4821,149,214,251,152,110,59,47,45,145,239,253,138,98,60,46,21,71398,25505,37222,51870,10469,1617,5774,1811,2701,2529,0,0,249,0,0,0,0,50,96,0,0,0,0,49,0,0,0,2024,268,110,78,110,20,22,24,1518,650,743,375,10617,4943,5184,2617,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2005  ,KODARMA                                           ,40416,87159,10182,0,1288,0,42,2098,5134,0,0,0,38292,79039,10182,0,1187,0,42,1219,3476,0,0,0,40165,26767,23039,21307,18719,14288,11057,9039,35281,24248,22636,19825,18347,14771,12244,9520,29743,20257,19456,18477,16399,12979,11456,9354,29450,23799,22676,21411,20207,15635,14351,12836,29172,21878,22560,21492,20017,16285,14713,13306,21809,6900,10451,3300,1576,718,247,108,169.78,196.96,0,84.19,106.92,0,138.02,163.44,0,66.62,84.38,0,21026,48225,9423,0,729,79403,14186,10900,11316,10730,10100,8272,7378,6521,134,87,100,75,90,75,70,69,92,73,65,60,55,55,43,29,98002,36066,40359,90293,18288,0,1273,542,4043,3106,0,160,500,1429,0,0,0,59,0,0,0,0,0,0,0,0,0,5318,768,400,450,308,114,204,250,17026,5314,8540,2732,82316,32786,41653,16817,,,,,,,,,,,,,,,,
20,Jharkhand                                         ,2022  ,LATEHAR                                           ,58888,94226,7965,206,1436,0,394,5839,366,0,591,0,58497,90271,7648,206,1210,0,394,5839,366,0,577,0,44153,33500,30482,27732,22101,11457,8853,6207,38974,29051,28985,26799,25063,16873,10130,7627,35579,25078,25182,23931,22741,16833,13646,8583,34663,27382,24778,24466,24324,18029,17060,13953,33196,26655,25304,22647,22594,17714,16720,15671,34423,9703,16603,4322,62800,30970,23528,12182,,0,0,,0,0,,0,0,,0,0,29850,53007,4699,104,1417,89077,16270,13027,12521,10977,11102,8959,8346,7875,99,85,74,86,73,63,62,74,75,66,60,56,70,47,74,37,111699,40751,59708,105802,9550,206,2118,255,1564,379,0,32,264,422,0,0,0,130,0,0,0,0,71,0,0,0,0,3300,930,572,372,372,136,90,42,9415,5140,4813,2723,28507,15157,14059,7785,,,,,,,,,,,,,,,,
