,TEACHER RELATED INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0309  ,LUDHIANA                                          ,3451,139,1123,1029,4628,0,415,769,5220,0,197,0,265,46,122,57,82,23,333,125,298,120,238,110,446,344,610,52,159,310,1222,628,3016,265,1180,789,1890,321,2587,419,2537,1048,58,7,67,14,86,42,7,10,95,8,49,23,0,0,8,0,0,0,1181,179,987,395,1719,3040,1302,5816,540,2612,0,0,0,0,0,33,34,199,29,122,265,230,989,65,380,0,0,0,0,0,476,23,143,121,505,886,127,490,157,696,1,0,3,0,10,13,9,11,3,6,756,0,2,246,753,1404,0,12,338,1138,653,837,1648,0,8,0,15255,1852,14,1292,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0315  ,MANSA                                             ,1195,61,445,326,1333,0,42,104,1002,0,0,0,18,0,3,3,7,13,95,2,7,38,40,36,131,10,19,35,69,402,323,17,85,50,257,1046,509,14,124,132,657,1036,36,1,6,8,43,78,2,0,1,1,1,7,0,0,0,0,0,0,542,14,83,163,562,572,30,162,104,512,0,0,0,0,0,56,62,449,16,85,239,349,1216,43,177,0,0,0,0,0,169,6,38,35,112,154,36,56,13,67,2,0,1,1,3,2,1,1,0,1,321,0,0,132,368,376,0,2,99,351,172,290,463,0,3,0,2661,2075,19,368,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0310  ,MOGA                                              ,1428,8,152,377,1862,0,96,285,1986,0,48,0,1,0,1,0,0,0,263,25,61,57,114,58,247,99,160,32,54,91,497,246,873,105,517,388,573,165,951,121,970,456,20,2,13,3,31,7,3,6,36,0,8,8,0,0,0,0,0,0,554,79,427,180,789,1050,464,1668,138,905,0,0,0,0,0,42,30,88,23,83,125,122,301,36,136,0,0,0,0,0,196,16,52,45,157,247,40,110,22,125,0,0,0,0,0,0,0,0,0,0,404,0,0,164,560,676,0,3,133,628,247,402,346,0,3,0,5777,897,33,499,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0318  ,MOHALI                                            ,1151,0,224,544,1671,0,26,7,1215,0,56,0,78,22,38,14,10,25,152,56,118,44,77,98,158,114,280,29,81,140,490,216,1100,87,383,480,573,151,1254,171,978,539,32,7,64,12,55,40,5,1,27,3,23,5,0,0,0,0,0,0,259,35,370,94,393,1229,532,2511,266,1214,0,0,0,0,0,27,10,83,33,25,168,84,605,157,95,0,0,0,0,0,81,3,38,31,81,266,40,191,85,195,4,0,1,0,0,4,4,20,0,2,115,0,5,44,123,427,5,36,188,326,506,654,2130,6,0,0,6402,1136,11,276,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0312  ,MUKTSAR                                           ,1236,47,330,440,1919,0,162,273,1175,0,90,0,38,0,5,5,10,11,146,9,10,41,66,22,163,46,39,36,54,310,407,86,255,93,440,805,574,106,336,178,997,1057,27,6,18,10,62,67,4,0,13,0,9,10,0,0,0,0,0,0,549,74,156,223,860,810,179,520,140,778,0,0,0,0,0,42,86,270,27,124,300,398,804,50,257,0,0,0,0,0,182,24,47,30,163,240,63,83,18,97,0,1,1,0,1,4,2,1,1,2,316,0,0,180,511,441,0,1,122,537,303,417,245,0,10,0,4088,1939,21,629,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0306  ,NAWANSHAHR                                        ,1118,41,309,438,1089,0,0,21,390,3,98,0,8,3,4,1,8,4,215,29,59,77,66,121,197,110,196,28,50,143,399,113,661,109,402,363,414,53,549,106,546,273,12,2,17,2,17,8,0,0,10,2,6,6,0,0,0,0,1,0,413,35,292,184,677,832,275,1204,141,419,0,0,0,0,0,20,18,86,36,36,69,66,342,80,66,0,0,0,0,0,216,14,84,94,286,350,97,329,77,165,4,0,3,0,2,2,9,17,1,0,243,0,0,170,358,360,0,0,168,242,216,332,1225,0,11,0,3753,574,19,358,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0322  ,PATHANKOT                                         ,1038,25,597,406,1213,0,179,454,1406,0,12,0,50,2,4,9,7,19,130,6,22,34,36,136,235,39,45,24,40,255,387,95,517,110,342,817,394,92,666,141,655,581,26,0,33,2,26,35,4,2,7,0,15,6,0,0,0,0,0,0,442,51,321,175,651,784,185,973,145,470,0,0,0,0,0,35,74,179,30,26,201,487,668,56,78,0,0,0,0,0,190,31,81,61,175,213,103,178,57,132,0,0,3,0,2,1,4,13,0,0,266,0,10,136,261,345,6,31,123,215,245,318,138,0,0,0,3988,1416,12,307,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0317  ,PATIALA                                           ,2460,49,1873,954,2955,0,48,184,2401,0,23,0,62,17,33,28,24,21,212,59,124,72,75,94,295,218,400,49,79,388,736,450,2259,143,565,1110,1310,236,2440,360,1782,1194,64,11,129,29,150,78,4,4,48,3,20,21,0,0,0,0,0,0,850,144,903,300,1027,1833,851,4530,384,1668,0,0,0,0,0,82,62,330,81,69,201,249,1458,189,227,0,0,0,0,0,267,24,101,75,194,376,87,203,91,215,3,2,2,0,9,23,10,21,0,5,609,0,24,237,412,1057,0,168,360,703,458,1073,2947,0,13,0,11104,2147,24,879,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0307  ,RUPNAGAR                                          ,1295,43,237,694,1413,0,29,78,913,0,120,0,41,3,8,9,13,32,137,9,19,70,97,194,160,9,45,42,66,215,379,44,224,102,344,928,482,42,208,141,738,1091,23,1,9,3,47,50,1,0,4,0,5,10,3,0,0,1,0,0,465,23,138,190,628,761,85,379,178,682,0,0,0,0,0,44,27,172,126,97,257,362,992,200,143,0,0,0,0,0,157,7,42,101,146,294,49,104,119,146,4,0,3,1,0,5,3,8,1,0,320,0,0,232,302,466,0,0,266,338,203,376,531,0,17,0,3467,2145,18,337,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0316  ,SANGRUR                                           ,2015,8,367,759,2749,0,25,37,2511,0,15,0,28,6,10,5,1,14,261,90,103,93,116,223,272,169,359,51,83,383,561,295,1405,176,565,966,1094,158,1488,333,1579,1009,67,4,48,12,106,53,5,6,52,6,5,20,0,0,0,0,0,0,898,185,899,402,1295,1390,543,2566,274,1160,0,0,0,0,0,79,40,413,33,120,245,248,1179,50,232,0,0,0,0,0,291,23,126,89,280,359,58,214,53,198,0,0,0,0,0,0,0,0,0,0,598,0,4,319,695,812,0,13,233,708,572,971,2179,0,43,0,8677,2019,20,1113,,,,,,,,,,,,,,,,,,
03,Punjab                                            ,0319  ,TARAN TARAN                                       ,1550,21,111,362,1280,0,126,253,1099,0,132,0,111,11,10,7,18,27,191,41,47,31,66,13,318,174,156,27,86,645,442,173,394,70,346,985,589,85,345,77,584,930,15,2,3,0,23,31,2,5,6,2,10,8,0,0,0,0,0,0,611,93,253,112,626,1057,398,708,102,507,0,0,0,0,0,49,68,247,75,133,350,455,1243,73,156,0,0,0,0,0,79,5,20,48,116,174,66,47,31,80,2,2,10,0,5,9,5,25,0,1,285,0,0,95,299,496,0,1,69,195,391,740,1241,0,10,0,4023,1937,12,514,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0821  ,AJMER                                             ,2163,4744,991,23,846,0,1262,4372,1639,0,109,0,99,199,30,0,2,12,232,392,86,2,13,43,1118,1751,303,3,39,88,1203,3397,1029,2,343,129,862,3226,1136,7,521,114,12,40,18,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1587,4113,1125,0,580,1939,4892,1477,14,344,0,0,0,0,0,92,101,16,0,27,45,51,12,9,4,0,0,0,0,0,294,692,165,0,115,225,492,120,3,23,83,221,62,0,37,66,156,24,0,7,338,666,74,0,35,335,642,46,5,17,238,41,0,0,0,0,13452,276,26,564,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0806  ,ALWAR                                             ,3440,6747,1577,72,1710,0,457,8091,6184,9,166,0,90,289,127,1,9,28,136,572,233,3,53,130,730,1783,727,5,193,169,1577,7472,4522,16,790,549,1106,4253,1973,23,765,297,3,40,19,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2319,9802,5511,12,1459,1323,4607,2090,36,355,0,0,0,0,0,319,305,99,0,53,77,135,61,33,9,0,0,0,0,0,410,1707,790,0,209,121,459,169,6,33,267,1249,425,1,141,69,268,72,8,15,1130,2155,413,1,105,438,800,81,13,18,141,11,0,0,0,0,25716,957,26,1472,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0828  ,BANSWARA                                          ,4480,3682,1392,69,583,0,660,1633,501,6,26,0,127,55,13,6,6,79,280,177,55,4,15,131,1169,843,277,10,83,366,2028,2795,958,35,271,582,680,1165,463,8,206,149,10,8,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2963,3443,1326,45,491,1331,1600,444,18,97,0,0,0,0,0,644,150,65,3,14,236,122,58,9,7,0,0,0,0,0,370,374,167,7,44,109,106,31,1,6,1729,1572,629,19,127,464,279,107,9,10,983,929,282,9,27,397,276,79,2,4,34,0,0,0,0,0,10343,1058,32,71,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0831  ,BARAN                                             ,1665,2375,871,19,547,0,332,2139,1388,0,47,0,102,107,19,0,8,70,117,170,79,1,19,198,435,776,331,1,53,188,699,2215,1227,2,260,433,302,948,508,3,216,148,3,4,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1319,3318,1638,0,484,339,902,539,7,73,0,0,0,0,0,412,247,66,0,36,67,80,41,12,11,0,0,0,0,0,269,588,252,0,74,53,93,58,0,12,433,460,192,0,55,34,65,24,5,6,929,1518,475,0,147,236,377,118,1,16,140,33,25,0,10,0,7980,710,25,632,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0817  ,BARMER                                            ,4931,5200,713,26,965,0,402,2362,721,0,45,0,294,544,69,0,37,178,226,208,39,0,19,53,1352,1475,246,1,126,582,1892,3129,677,10,448,622,738,1628,308,3,334,143,2,24,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3685,5873,1152,0,903,819,1135,189,14,66,0,0,0,0,0,822,486,68,0,39,182,82,30,12,2,0,0,0,0,0,753,1128,234,0,188,111,136,28,2,3,190,275,44,0,69,24,20,3,2,2,2589,2520,361,0,260,548,374,45,6,16,175,14,5,0,0,0,12488,1235,18,1639,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0807  ,BHARATPUR                                         ,2747,4050,559,59,1783,0,608,5009,3273,4,227,0,57,88,33,1,11,31,195,408,134,1,76,103,650,1296,458,13,239,126,1227,4424,2193,20,789,381,942,2547,928,20,829,136,14,24,12,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2335,6937,3025,28,1685,750,1850,733,27,266,0,0,0,0,0,254,191,54,0,46,61,81,20,8,13,0,0,0,0,0,386,932,334,2,201,58,153,39,2,13,128,358,115,4,76,35,92,28,1,9,1397,1934,252,13,270,468,692,38,8,45,45,0,0,0,0,0,15921,620,18,1712,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0824  ,BHILWARA                                          ,3651,5012,557,32,1552,0,1240,2758,542,0,77,0,142,101,8,0,7,56,241,299,34,1,41,59,1220,1438,141,0,156,358,1496,2772,455,11,570,646,1100,2582,371,8,742,361,10,28,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,2584,3875,529,0,1183,1625,3345,480,20,355,0,0,0,0,0,491,311,48,0,68,256,277,42,12,23,0,0,0,0,0,628,904,81,0,242,183,285,24,4,16,199,303,33,0,63,49,115,8,1,9,1564,1679,134,0,203,677,992,38,3,54,65,38,0,0,0,0,11838,1140,24,1121,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0803  ,BIKANER                                           ,2533,3425,961,51,760,0,887,4286,1662,32,153,0,89,61,22,4,16,26,134,244,57,1,32,29,766,1151,318,10,93,279,1276,3365,1210,28,312,430,829,2544,900,21,416,185,13,38,8,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,2031,4683,1576,26,517,1076,2720,939,41,356,0,0,0,0,0,388,212,60,0,38,95,126,48,16,2,0,0,0,0,0,436,759,219,5,69,91,212,54,5,15,54,138,40,0,35,21,64,14,0,7,855,742,220,0,25,358,408,62,1,9,170,30,0,0,0,0,11828,645,23,1262,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0823  ,BUNDI                                             ,1514,2128,533,9,538,0,561,2208,1164,0,18,0,33,58,12,0,6,8,73,165,44,0,13,45,528,725,277,0,81,129,787,1843,770,1,229,332,515,1270,456,3,198,148,7,14,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1218,2593,1008,0,420,725,1482,554,4,111,0,0,0,0,0,137,167,89,0,21,65,106,54,5,4,0,0,0,0,0,250,415,166,0,76,75,136,50,1,7,220,585,189,0,62,71,143,32,0,3,447,488,109,0,23,268,270,44,0,4,70,12,8,0,0,0,7007,469,26,302,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0829  ,CHITTAURGARH                                      ,1835,3400,695,28,701,0,1006,1981,553,0,53,0,71,76,21,0,5,21,162,204,56,3,15,57,708,930,182,4,80,201,1015,2254,553,5,281,424,551,1520,359,10,321,232,8,11,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1409,2729,699,4,537,1106,2266,477,18,166,0,0,0,0,0,238,238,56,0,35,120,186,26,10,16,0,0,0,0,0,273,550,143,1,75,100,239,33,2,10,131,236,36,0,22,33,58,9,1,2,482,799,181,0,23,174,383,43,4,7,32,38,10,4,0,0,7357,646,25,606,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0804  ,CHURU                                             ,1495,3911,727,234,1375,0,267,3419,2203,9,99,0,54,164,52,8,13,23,100,351,99,7,37,18,374,1087,417,32,135,183,609,3025,1392,67,561,522,460,2292,708,102,642,229,9,27,16,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1111,5139,2038,170,1157,495,1807,646,46,237,0,0,0,0,0,192,279,171,2,62,60,136,75,25,18,0,0,0,0,0,275,990,367,31,178,60,175,38,6,19,35,199,81,4,42,18,73,19,1,10,417,1104,90,14,66,171,398,14,11,16,96,31,0,0,0,0,10982,808,22,1190,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0811  ,DAUSA                                             ,1966,2940,742,24,639,0,297,3095,1960,7,80,0,46,98,28,0,6,8,115,259,126,2,25,44,399,782,289,0,78,66,980,3036,1495,15,261,167,597,1746,720,8,341,65,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,5022,2238,10,625,431,909,435,15,86,0,0,0,0,0,140,85,31,0,7,28,19,7,6,1,0,0,0,0,0,328,828,298,0,70,54,112,56,1,9,434,1118,414,2,133,68,119,40,6,6,49,111,10,0,4,7,18,1,0,0,47,0,9,0,0,0,10498,288,52,18,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0808  ,DHAULPUR                                          ,1485,2039,414,34,469,0,108,2461,1296,0,52,0,21,57,26,0,3,19,66,182,57,0,15,37,409,605,221,6,37,161,519,1975,851,8,187,373,432,1260,449,13,255,155,2,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1118,3239,1292,17,429,331,849,316,10,68,0,0,0,0,0,163,347,92,2,24,39,65,16,5,0,0,0,0,0,0,195,496,187,3,47,44,71,22,3,4,119,366,95,4,35,23,46,12,2,0,605,836,28,1,21,180,182,1,0,2,58,0,6,0,0,0,7009,656,24,907,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0827  ,DUNGARPUR                                         ,3141,2853,907,26,581,0,976,1485,250,0,38,0,133,61,18,0,10,38,204,137,31,0,13,36,978,705,162,1,64,152,1654,2077,548,7,265,396,672,1117,355,8,224,198,5,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2428,2759,852,0,514,1218,1344,264,16,62,0,0,0,0,0,300,123,26,0,37,176,120,25,10,6,0,0,0,0,0,220,293,92,0,33,103,80,21,3,8,1243,1189,310,0,153,449,359,76,11,13,1190,1113,204,0,52,528,419,58,7,3,5,8,10,0,0,0,9104,653,24,316,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0801  ,GANGANAGAR                                        ,2027,3482,1169,21,987,0,547,3509,1637,11,187,0,46,137,23,0,7,13,105,217,92,0,47,18,488,700,210,1,99,186,984,3269,1424,20,501,415,648,2213,914,4,457,279,0,23,8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1333,3694,1603,14,678,938,2865,1068,11,441,0,0,0,0,0,205,231,65,3,40,102,201,70,4,15,0,0,0,0,0,352,741,322,4,93,112,249,100,1,24,43,131,43,1,22,23,48,14,1,4,347,556,159,0,45,257,594,78,0,38,4,0,0,0,0,0,11636,807,22,641,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0802  ,HANUMANGARH                                       ,1345,3138,921,6,744,0,203,3941,2990,0,280,0,110,553,242,4,96,20,82,388,197,0,65,19,339,1046,507,0,109,115,526,3193,1950,0,450,299,367,1627,883,2,267,111,5,21,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,940,4658,2694,0,781,489,2170,1095,6,206,0,0,0,0,0,93,161,82,0,27,51,95,47,0,12,0,0,0,0,0,201,780,356,0,115,64,230,104,0,19,36,180,73,0,38,17,63,19,1,6,323,805,137,0,51,140,384,53,0,5,25,5,7,0,2,0,12371,481,27,414,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0812  ,JAIPUR                                            ,5388,9295,1966,32,2057,0,1021,11298,11642,36,344,0,101,325,121,0,21,20,282,692,292,1,46,65,1197,2421,1232,3,213,89,2544,9941,7611,33,936,297,2203,6940,4188,22,1133,210,27,94,57,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,3202,12616,8923,35,1560,3152,7797,4578,24,804,0,0,0,0,0,110,158,80,0,25,82,109,52,9,12,0,0,0,0,0,615,2159,1375,6,232,292,715,305,2,45,296,1306,623,1,122,180,502,173,3,29,1336,2298,400,0,98,1114,1553,178,8,57,137,87,25,0,0,0,38664,545,24,1266,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0816  ,JAISALMER                                         ,1283,1304,446,18,318,0,305,835,93,0,42,0,90,43,29,0,8,42,93,116,36,3,10,52,419,442,79,0,39,166,503,958,223,9,161,217,190,508,128,1,124,68,1,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1050,1571,420,10,307,246,497,80,3,37,0,0,0,0,0,358,78,26,0,16,45,19,13,5,0,0,0,0,0,0,321,334,97,0,58,25,47,7,3,6,77,106,20,1,33,5,11,1,0,0,163,75,52,3,1,39,26,0,0,1,111,26,0,0,0,0,3658,400,26,206,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0818  ,JALOR                                             ,2030,2874,754,31,620,0,657,3145,676,7,131,0,43,73,7,0,2,47,76,155,29,1,11,51,769,1172,237,4,55,230,1111,2948,700,16,366,391,420,1271,340,9,301,112,5,12,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2108,4814,1126,14,646,316,817,190,16,90,0,0,0,0,0,260,323,68,0,14,47,69,46,8,1,0,0,0,0,0,582,1364,306,2,147,70,169,43,2,11,123,270,57,1,54,8,27,5,0,2,1124,1522,328,3,67,142,247,43,2,14,44,4,0,0,0,0,8189,518,24,1674,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0832  ,JHALAWAR                                          ,1738,3231,885,19,386,0,183,2316,816,24,17,0,93,251,104,0,6,25,127,307,38,2,12,29,459,736,152,7,46,94,688,2790,903,23,181,211,394,1298,439,3,152,103,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,3911,1200,12,349,432,1480,438,23,48,0,0,0,0,0,173,147,43,0,3,31,56,20,8,3,0,0,0,0,0,255,649,188,1,47,52,188,45,1,3,145,573,113,0,27,41,87,21,3,5,406,427,92,0,12,73,134,15,2,3,45,47,0,0,0,0,7992,425,25,375,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0805  ,JHUNJHUNUN                                        ,2230,4608,756,36,1349,0,397,3044,4766,5,255,0,25,48,41,0,4,9,92,212,128,2,44,150,589,991,557,5,160,104,960,3423,3058,10,594,277,790,2810,1624,21,741,143,5,30,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1209,4727,3945,22,1162,1252,2787,1474,16,381,0,0,0,0,0,144,92,65,1,39,87,74,38,2,22,0,0,0,0,0,238,917,640,1,181,94,240,115,2,26,42,288,112,0,55,45,103,22,0,16,876,1882,283,3,170,747,1222,132,0,50,65,28,0,0,0,0,15326,484,20,1026,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0815  ,JODHPUR                                           ,4980,5425,650,39,1896,0,696,6022,2281,0,249,0,157,225,48,1,28,88,277,512,116,0,57,20,1241,1760,368,3,210,446,1898,5571,1563,16,866,645,1140,3109,753,9,920,246,8,43,18,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,3067,7522,1848,2,1479,1654,3698,1018,27,613,0,0,0,0,0,943,241,34,0,36,173,89,35,10,17,0,0,0,0,0,631,1147,282,0,267,136,251,85,5,49,129,281,28,0,60,46,111,28,0,16,663,1005,53,0,115,331,611,45,2,52,161,103,4,0,0,0,18284,1332,22,400,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0809  ,KARAULI                                           ,2403,2922,623,5,863,0,155,1374,735,0,13,0,57,126,51,0,16,11,83,125,42,0,20,36,679,511,174,1,75,76,918,1810,599,1,348,124,715,1601,432,3,401,67,14,35,5,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2031,3565,1148,2,782,435,643,155,3,81,0,0,0,0,0,122,75,46,0,12,21,19,9,0,1,0,0,0,0,0,352,500,137,0,103,37,53,10,1,1,599,991,308,1,170,64,100,26,1,6,1400,1732,336,2,101,254,361,51,3,14,51,6,0,0,0,0,8504,243,24,659,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0830  ,KOTA                                              ,1534,2944,860,16,515,0,392,3199,3095,5,122,0,85,288,396,0,44,13,124,308,132,0,18,68,506,922,491,1,96,99,659,2669,1743,16,239,234,462,1780,1122,4,232,111,3,15,18,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1065,3469,2153,13,398,774,2513,1749,8,233,0,0,0,0,0,156,126,31,0,5,95,61,22,0,1,0,0,0,0,0,236,670,390,2,54,97,273,157,0,9,155,348,148,0,50,43,96,59,0,11,431,728,212,0,16,235,498,109,0,3,164,26,0,0,0,0,8913,357,23,44,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0814  ,NAGAUR                                            ,3621,5703,1120,66,1325,0,549,6268,3811,28,107,0,88,153,80,2,12,32,154,505,197,4,25,65,867,1752,693,4,117,251,1701,5931,2664,30,600,546,1061,3243,1140,30,619,314,8,38,13,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3120,9281,3972,37,1202,759,2341,815,33,174,0,0,0,0,0,445,342,124,1,57,83,97,29,30,8,0,0,0,0,0,508,1409,550,1,163,79,206,57,2,12,102,338,81,1,45,23,74,11,0,2,1853,2730,454,0,120,356,559,42,19,16,237,90,9,7,9,0,18140,949,23,2050,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0820  ,PALI                                              ,1908,4742,767,42,1329,0,714,4264,1044,0,127,0,136,266,86,0,15,77,110,330,38,0,22,70,565,1521,222,2,152,225,980,3812,861,8,563,724,535,2286,433,12,595,326,5,21,6,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,1711,5888,1231,7,1159,620,2348,415,15,199,0,0,0,0,0,271,565,104,2,81,86,216,61,18,17,0,0,0,0,0,457,1883,322,2,265,122,378,42,5,28,169,323,55,5,48,31,81,20,2,5,575,1160,119,3,40,142,290,21,1,3,66,11,0,0,0,0,11026,939,23,644,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0833  ,PRATAPGARH (RAJ.)                                 ,1372,1307,313,19,323,0,362,697,308,0,7,0,35,17,7,0,0,23,103,57,12,0,6,90,586,395,104,1,47,82,602,938,289,6,132,183,248,471,136,3,129,56,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,1283,377,6,275,407,600,176,4,40,0,0,0,0,0,157,93,36,0,12,26,46,32,9,3,0,0,0,0,0,155,197,74,2,38,42,57,13,4,6,683,503,131,3,68,125,82,33,3,2,611,492,94,5,39,156,123,22,4,7,23,18,0,0,0,0,3554,289,25,541,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0825  ,RAJSAMAND                                         ,1769,2702,447,22,736,0,626,1379,498,0,32,0,100,57,16,0,3,51,132,174,31,1,17,22,710,719,153,6,60,288,678,1508,389,2,254,303,415,1201,317,4,374,132,8,10,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1260,2186,548,0,620,783,1483,359,13,90,0,0,0,0,0,249,239,29,0,47,103,173,9,9,11,0,0,0,0,0,284,504,99,0,115,97,145,33,2,10,181,137,27,0,45,29,48,6,1,4,902,1135,138,0,78,367,523,28,0,6,0,0,0,0,0,0,6307,508,19,754,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0810  ,SAWAI MADHOPUR                                    ,1635,2089,707,13,630,0,408,2743,1587,0,91,0,38,64,25,0,6,26,49,121,67,4,21,54,381,653,230,0,44,78,917,2520,1316,1,308,220,571,1397,640,5,314,101,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556,3740,1782,0,568,402,1023,496,10,125,0,0,0,0,0,206,110,34,0,25,35,22,9,3,3,0,0,0,0,0,322,594,300,0,80,44,107,45,0,10,382,870,330,0,119,54,140,53,6,10,541,532,160,0,8,141,170,28,2,3,156,63,27,0,0,0,8259,408,24,440,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0813  ,SIKAR                                             ,2908,5322,632,10,1101,0,506,4417,5433,0,187,0,70,155,75,0,15,22,143,324,190,1,40,21,656,1255,647,1,128,140,1328,4599,3369,3,505,369,977,3197,1645,4,563,180,11,34,42,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2192,7116,4788,5,1063,993,2448,1180,4,190,0,0,0,0,0,244,221,74,0,25,89,81,31,1,10,0,0,0,0,0,434,1255,689,1,170,94,238,72,0,6,131,500,184,0,52,48,163,41,0,7,671,1238,65,0,61,373,547,28,2,5,104,127,8,0,0,0,18936,709,19,1027,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0819  ,SIROHI                                            ,1259,1749,426,59,543,0,580,1124,463,0,0,0,63,20,5,0,2,45,106,70,13,1,18,18,476,491,124,7,45,137,657,1394,407,18,229,149,314,809,307,22,225,60,3,8,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1213,2030,555,23,446,408,762,304,25,75,0,0,0,0,0,205,68,19,1,21,43,33,11,10,1,0,0,0,0,0,399,542,126,8,105,59,124,34,5,10,308,221,60,2,41,33,39,16,0,5,492,634,110,0,25,164,198,41,12,5,30,20,0,0,0,0,4683,198,25,575,,,,,,,,,,,,,,,,,,
08,Rajasthan                                         ,0822  ,TONK                                              ,2160,3181,291,25,1135,0,362,3061,1737,0,79,0,37,142,48,0,1,10,59,175,50,0,24,224,662,1050,308,0,142,94,1078,2740,1069,8,453,268,628,1860,520,4,522,142,5,30,14,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1814,4330,1361,0,974,655,1667,648,12,179,0,0,0,0,0,95,219,25,0,54,29,77,16,13,7,0,0,0,0,0,376,820,250,0,167,76,188,73,4,25,266,546,139,0,152,51,128,18,0,19,1282,1779,171,0,204,382,607,35,10,43,71,51,22,0,0,0,10156,425,22,1077,,,,,,,,,,,,,,,,,,
