10,BIHAR                                             ,1004  ,SITAMARHI                                         ,2013-14,1202,875,0,7,1,21,11,0,10,36,6,0,0,1,2,0,1140,855,0,5,1,21,7,0,10,21,5,0,0,0,2,0,32,3,0,0,1,0,0,36,220,5,0,0,0,0,0,225,0,0,0,0,63.99,92.96,82.61,100,66.67,100,53.85,77.11,1179,974,23,7,3,23,13,2222,33199,1049,0,0,0,0,0,34248,166,88,14,1,0,3,7,279,36,19,1,0,2,0,6,64,723,22,0,0,0,1,0,339,462,0,2,1,12,0,2946,6923,299,45,7,210,26,0,2352,5488,255,27,7,166,17,0,288,622,16,6,0,17,8,0,313,813,28,12,0,27,1,0,185,358,6,30,6,1,0,0,81.2,84.69,0,100,0,85.71,9.09,73.13,78.63,0,71.43,0,71.43,9.09,221833,218578,72316,73813,141085,146130,38998,43786,7,69,17,0,2,1,0,0,62.35,92.33,86.96,85.71,33.33,100,61.54,24,93,10,2,2,2,0,15,55,5,2,1,1,0,1045,842,0,6,1,20,3,1101,814,0,7,1,18,6,879,798,21,6,2,18,12,1581,864,1828,181,231,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BIHAR                                             ,1016  ,SIWAN                                             ,2013-14,1240,812,1,16,1,41,0,0,0,4,0,4,1,2,1,0,1196,788,0,12,1,40,0,0,0,4,0,4,1,1,1,0,28,10,0,0,0,0,0,38,8,0,0,0,0,0,0,8,0,0,0,0,58.61,83.94,100,85,100,85.71,100,70.5,1172,1015,2,20,2,47,1,2259,1045,0,0,0,0,0,0,1045,115,50,0,3,0,3,0,171,39,6,0,0,0,0,0,45,600,2,1,0,0,1,0,314,585,0,9,0,30,0,4065,7783,17,167,21,446,3,0,3159,6140,17,113,21,377,3,0,351,646,0,28,0,28,0,0,641,994,0,26,0,41,0,0,512,978,5,18,17,15,0,0,86.53,86.08,0,75,0,85.37,0,85.81,83.99,0,75,0,82.93,0,164469,182709,74613,91638,110948,129649,41397,56562,43,230,1,0,0,6,0,0,70.38,86.89,100,90,100,89.58,0,90,208,1,5,2,7,1,46,160,2,3,2,8,0,1191,789,0,14,0,40,0,1183,767,1,15,1,38,0,1085,960,2,19,2,47,1,1671,830,1009,118,235,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BIHAR                                             ,1006  ,SUPAUL                                            ,2013-14,1067,665,0,11,0,4,2,0,1,1,0,1,0,0,0,0,1025,646,0,11,0,4,2,0,1,1,0,0,0,0,0,0,18,1,0,0,0,0,0,19,102,2,0,1,0,0,0,105,0,0,0,0,45.56,88.6,66.67,75,0,100,50,62.51,1011,677,3,12,0,4,2,1709,12597,613,0,435,0,0,0,13645,178,119,3,3,0,0,0,303,36,0,0,0,0,1,1,38,679,7,0,0,0,0,0,370,485,0,6,0,4,0,2105,4830,18,86,0,46,7,0,1560,3580,14,68,0,31,7,0,270,554,2,9,0,4,0,0,278,699,2,9,0,11,0,0,0,0,0,0,0,0,0,0,78.26,81.35,0,66.67,0,75,100,78.35,80.75,0,75,0,75,100,109046,105523,43686,40648,66564,62531,17505,18766,2,18,3,0,0,0,0,0,43.64,85.42,100,83.33,0,100,50,3,43,0,1,0,0,1,4,21,0,1,0,1,0,1005,652,0,11,0,4,1,985,621,0,10,0,3,2,998,662,3,12,0,3,2,1048,586,1307,183,238,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BIHAR                                             ,1018  ,VAISHALI                                          ,2013-14,1095,933,0,1,1,36,2,0,17,8,4,0,1,6,12,0,1064,897,0,1,1,35,2,0,17,7,4,0,1,5,10,0,91,14,0,0,0,0,2,107,141,4,0,0,0,0,0,145,0,0,0,0,75.82,97.53,100,100,100,94,92.86,86.45,930,1041,7,1,2,49,14,2044,14503,992,0,0,0,0,0,15495,176,58,1,0,0,4,1,240,60,9,0,0,0,0,4,73,460,13,0,0,0,3,0,194,228,0,1,0,9,0,3539,8527,106,8,11,446,22,0,2939,7232,101,3,11,383,18,0,223,568,1,5,0,23,0,0,380,713,4,0,0,40,4,0,104,310,10,0,0,36,10,0,85.3,87.14,0,0,0,75,0,81.1,83.6,0,0,0,72.22,0,185164,187087,91663,97531,97104,112482,37353,47120,43,113,3,0,0,8,0,0,75.07,97.24,100,100,100,93.88,85.71,45,136,6,0,2,13,4,24,144,6,0,1,13,1,1067,921,0,1,0,34,0,1029,852,0,1,1,29,1,1039,998,7,1,2,50,13,1514,841,1426,261,224,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,CHANDIGARH                                        ,0401  ,CHANDIGARH                                        ,2013-14,7,13,42,0,2,48,0,0,4,13,38,0,3,22,0,0,0,3,8,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,100,0,100,11,26,80,0,5,70,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,7,0,0,0,1,0,0,0,0,142,457,1893,0,39,1309,0,0,135,422,1831,0,39,1242,0,0,7,3,23,0,0,3,0,0,0,32,39,0,0,64,0,0,10,104,864,0,106,490,0,0,71.43,53.85,59.57,0,0,83.67,0,85.71,76.92,78.72,0,33.33,91.84,0,30644,29198,24443,20762,30362,29021,21957,17692,0,0,0,0,0,0,0,0,100,100,100,0,100,100,0,11,26,80,0,5,70,0,6,24,80,0,5,69,0,7,13,38,0,1,47,0,7,13,41,0,2,48,0,11,26,80,0,5,70,0,139,120,9,1,213,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2222  ,BALOD                                             ,2013-14,906,4,0,386,4,0,32,0,55,54,16,2,5,6,0,0,858,3,0,357,4,0,31,0,43,36,1,1,3,2,0,0,20,0,0,0,0,0,0,20,47,1,1,3,0,0,0,52,0,0,0,0,99.66,100,100,99.72,100,100,100,99.71,958,57,16,388,9,6,32,1466,1471,179,208,140,0,0,0,1998,317,4,2,105,1,0,0,429,437,9,0,51,3,0,2,502,49,0,0,146,0,0,9,849,4,0,318,3,0,31,3347,465,154,1455,32,41,119,0,2576,447,147,1244,25,41,109,0,357,0,1,69,0,0,2,0,414,18,6,142,7,0,8,0,404,9,3,421,15,2,30,0,99.12,75,0,98.71,100,0,100,97.91,75,0,97.94,100,0,100,36223,35466,26266,25931,28532,31062,20679,24292,0,1,0,0,0,0,0,0,89.84,96.55,100,99.72,100,100,100,946,54,16,387,9,6,32,28,20,13,47,2,4,5,906,4,0,386,4,0,32,906,4,0,386,4,0,32,950,59,16,386,9,6,32,112,146,135,46,228,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2224  ,BALODABAZAR                                       ,2013-14,1251,5,0,591,2,0,61,0,65,88,40,7,2,9,1,0,1176,4,0,554,2,0,61,0,54,66,17,7,2,7,1,0,38,1,1,2,0,0,0,42,53,0,0,17,0,0,0,70,0,0,0,0,90.64,93.62,95,94.3,100,100,95,92.05,1291,94,40,580,4,9,61,2079,2834,0,0,1421,0,0,0,4255,375,4,0,224,1,1,21,626,307,5,3,76,0,1,6,398,206,0,0,383,1,0,22,1032,4,0,405,2,0,45,5034,711,435,2096,24,71,246,0,3813,666,432,1705,18,68,184,0,514,4,0,139,0,0,15,0,719,41,3,257,6,3,47,0,542,52,49,361,3,6,78,0,94.34,60,0,95.1,100,0,93.44,89.55,60,0,89.36,50,0,86.89,80138,78900,45924,45552,56871,67073,27863,39027,1,1,0,1,0,0,0,0,50.67,79.12,97.5,66.25,100,100,79.03,759,79,40,384,4,8,40,21,30,29,53,1,3,7,1247,5,0,589,2,0,61,1238,5,0,585,2,0,61,1222,92,40,567,4,9,58,575,348,412,243,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2226  ,BALRAMPUR                                         ,2013-14,1474,2,0,537,0,1,48,0,71,30,2,27,2,3,0,0,1437,2,0,515,0,1,48,0,61,21,1,22,2,0,0,0,74,0,0,12,0,0,1,87,155,0,0,60,0,0,2,217,0,0,0,0,99.74,100,100,99.81,100,100,100,99.77,1484,32,2,526,2,4,47,2097,6134,0,0,3585,0,0,190,9909,572,2,0,268,2,1,16,861,783,2,1,210,2,0,9,1007,574,0,0,405,0,0,21,1088,1,0,336,0,0,33,4234,260,13,1816,3,27,159,0,2831,245,13,1393,3,25,115,0,578,0,0,88,0,0,14,0,825,15,0,338,0,2,30,0,705,34,2,479,2,17,52,0,97.03,66.67,0,94.85,0,100,97.92,96.36,66.67,0,94.3,0,100,97.92,50918,48200,26110,24844,39868,41338,18412,20012,16,0,0,5,0,0,0,0,84.54,96.88,100,90.46,50,100,95.74,121,22,2,61,2,3,4,38,8,0,40,0,1,6,1469,2,0,534,0,1,47,1470,2,0,533,0,1,47,1421,32,2,543,2,4,48,418,130,409,179,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2215  ,BASTER                                            ,2013-14,1712,7,1,637,12,1,40,0,42,25,17,14,2,6,0,0,1650,5,0,596,11,0,37,0,32,15,5,10,0,1,0,0,127,0,0,5,1,0,0,133,245,0,0,85,0,0,1,331,0,0,0,0,89.6,90.32,100,90.87,92.86,100,97.5,90.19,1644,28,18,604,12,7,39,2352,7472,0,0,2222,0,0,92,9786,644,1,0,172,1,0,14,832,1078,6,0,332,4,0,6,1426,448,2,0,466,5,0,13,1027,1,0,329,5,0,21,4656,243,272,1921,70,88,131,0,3909,208,268,1734,67,88,115,0,302,0,4,44,0,0,3,0,452,35,0,143,3,0,13,0,0,0,55,3,8,3,0,0,89.5,0,0,87.81,69.23,0,80,81.72,0,0,76.56,69.23,0,80,45301,43483,21136,20926,40659,41012,17789,18265,6,0,0,0,0,0,0,0,83.6,87.1,100,80.63,92.86,100,92.5,337,20,17,211,5,7,14,34,17,17,46,3,6,9,1692,4,0,626,10,0,38,1686,3,1,623,12,0,38,1567,29,18,602,14,7,40,317,89,321,65,228,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2223  ,BEMETARA                                          ,2013-14,771,0,0,339,1,0,56,0,49,51,6,2,0,3,0,0,741,0,0,315,1,0,56,0,41,31,1,2,0,0,0,0,17,0,0,2,0,0,0,19,35,0,0,10,0,0,0,45,0,0,0,0,84.54,100,100,88.16,100,100,90.91,86.51,785,50,6,331,1,2,56,1231,2418,0,0,1057,0,0,0,3475,326,3,0,135,0,0,9,473,128,4,0,25,0,0,0,157,67,0,0,180,0,0,16,671,0,0,247,1,0,46,2996,434,76,1219,3,24,218,0,2178,410,76,895,2,24,178,0,364,4,0,83,0,0,9,0,455,20,0,241,1,0,31,0,234,32,1,157,3,2,107,0,97.67,0,0,99.12,100,0,96.43,93.51,0,0,93.81,100,0,92.86,50445,50366,28765,28252,37628,44300,15572,26164,1,1,0,0,0,0,0,0,71.66,82.35,100,77.6,0,100,89.29,745,46,6,308,1,2,55,15,20,4,45,0,2,6,769,0,0,337,1,0,56,767,0,0,337,1,0,56,747,51,6,312,1,3,54,413,231,380,166,223,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2220  ,BIJAPUR                                           ,2013-14,863,55,0,174,2,0,9,0,12,19,0,0,0,3,0,0,818,54,0,157,2,0,8,0,11,9,0,0,0,1,0,0,109,0,0,6,0,0,1,116,444,16,0,31,0,0,1,492,0,0,0,0,64.64,96.88,0,71.93,100,100,100,68.25,685,73,0,140,2,3,9,912,10066,5027,0,508,0,0,130,15731,198,13,0,70,0,0,1,282,743,6,0,140,1,0,3,893,335,50,0,118,0,0,4,271,30,0,65,0,0,4,1683,618,0,425,6,34,19,0,1204,566,0,327,6,29,7,0,262,18,0,56,0,0,0,0,221,34,0,42,0,5,12,0,458,179,0,104,3,2,6,0,65.13,69.64,0,64.37,0,0,55.56,65.01,66.07,0,64.37,0,0,55.56,21682,15799,4929,4005,17240,14307,3041,2965,0,0,0,0,0,0,0,0,48.33,91.07,0,65.66,100,100,87.5,169,49,0,47,2,3,5,24,40,0,26,0,2,0,678,54,0,140,2,0,8,684,55,0,142,2,0,9,615,71,0,142,2,3,9,84,25,202,20,220,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2207  ,BILASPUR (CHHATTISGARH)                           ,2013-14,1853,4,1,684,9,0,106,0,133,213,105,10,14,39,5,0,1713,1,0,612,7,0,106,0,100,109,48,8,5,19,2,0,40,0,4,4,2,1,4,55,127,2,0,37,0,0,1,167,0,0,0,0,99.84,99.08,99.05,100,100,100,99.06,99.76,1938,217,106,663,24,39,110,3097,6715,56,0,2110,0,0,80,8961,629,5,4,213,1,1,19,872,632,27,5,106,3,2,4,779,427,0,0,339,1,0,25,1503,1,0,529,7,0,83,7137,1549,720,2392,109,250,393,0,5780,1434,714,1983,103,246,325,0,484,15,0,128,2,0,14,0,873,100,6,281,4,4,54,0,1645,134,104,696,28,55,160,0,91.84,0,0,88.66,40,0,89.62,87.2,0,0,81.83,40,0,85.85,119200,113823,63944,60499,81644,90670,28139,45084,2,1,0,0,1,0,0,0,92.36,94.91,99.06,100,100,100,100,923,190,102,469,21,36,74,78,81,59,85,10,25,24,1845,3,0,679,7,0,106,1836,2,0,683,8,0,106,1918,217,105,672,23,37,108,867,539,740,272,221,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2216  ,DANTEWADA                                         ,2013-14,719,43,3,201,3,0,10,0,12,9,4,2,0,5,1,0,680,39,0,172,1,0,10,0,10,3,1,2,0,2,1,0,16,0,0,2,0,0,0,18,135,2,0,11,0,0,0,148,0,0,0,0,98.14,100,100,96.48,50,100,90.91,97.71,719,52,7,191,3,5,8,985,3712,47,0,229,0,0,0,3988,239,1,0,54,0,0,1,295,607,8,0,154,0,0,5,778,337,36,1,141,1,0,3,497,32,0,125,1,0,8,2106,431,61,589,19,65,38,0,1527,374,61,446,19,65,26,0,220,16,0,43,0,0,1,0,359,41,0,100,0,0,11,0,315,86,49,84,0,20,9,0,63.07,40.91,0,67,0,0,50,62.79,40.91,0,67.49,0,0,50,17096,14698,6151,5430,14601,13729,4258,3934,1,0,0,1,0,0,0,4,88.24,97.62,100,90.05,100,100,81.82,83,44,7,47,2,5,2,25,19,6,25,2,5,1,716,38,0,199,2,0,10,717,41,1,201,2,0,10,648,49,7,189,3,5,11,43,21,81,10,229,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2213  ,DHAMTARI                                          ,2013-14,941,1,0,435,1,1,25,0,54,71,28,3,4,15,0,0,872,0,0,405,0,1,23,0,46,43,10,2,3,9,0,0,26,2,0,1,0,0,0,29,77,1,0,8,0,0,0,86,0,0,0,0,82.57,90.28,96.43,95.31,100,100,96,87.06,926,73,28,404,5,16,23,1475,1895,60,0,391,0,0,0,2346,294,4,0,148,1,0,2,449,453,5,1,82,2,0,1,544,194,1,0,209,1,1,6,812,0,0,279,1,0,22,3279,591,267,1410,17,126,98,0,2443,550,264,1190,17,126,73,0,423,10,3,72,0,0,4,0,417,34,0,150,0,0,21,0,510,41,41,422,3,31,27,0,98.73,33.33,50,98.16,50,0,100,96.08,33.33,50,94.02,50,0,92,38515,38020,26432,26803,26774,31527,18476,23063,0,1,0,0,0,0,0,0,69.01,79.17,82.14,80,60,93.75,72,866,65,28,400,5,16,25,49,27,22,134,2,12,14,938,0,0,431,1,0,25,940,0,0,434,1,1,25,934,72,28,421,5,16,25,145,175,126,76,228,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2210  ,DURG                                              ,2013-14,664,2,3,330,4,0,23,1,120,182,113,8,10,37,1,0,468,0,0,226,2,0,21,0,54,39,10,2,1,5,0,0,10,0,1,2,0,0,1,14,60,4,0,6,0,4,0,74,0,0,0,0,97.72,99.47,100,99.37,100,100,100,98.61,778,186,116,334,14,37,24,1489,6529,811,0,653,0,1190,0,9183,153,0,0,19,0,0,0,172,161,12,1,13,5,0,0,194,47,0,1,106,0,0,3,452,0,0,162,0,0,20,3613,1526,1514,1507,71,298,116,0,2879,1479,1497,1247,68,295,106,0,274,5,1,74,0,0,4,0,460,42,16,185,3,3,6,0,480,90,250,349,8,13,83,0,84.78,33.33,25,87.05,75,0,95.83,83.88,33.33,25,85.54,75,0,95.83,63439,62149,40461,40977,35932,40644,20165,31561,9,4,0,0,0,0,0,1,83.33,97.87,100,87.66,100,100,95.83,733,183,116,331,14,35,24,31,98,101,40,8,28,4,658,0,0,324,3,0,22,645,1,1,329,4,0,23,787,186,115,335,14,37,24,349,305,302,114,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2225  ,GARIABAND                                         ,2013-14,1085,4,0,425,0,0,47,0,38,23,4,4,0,2,0,0,1063,4,0,412,0,0,46,0,34,18,1,2,0,0,0,0,40,0,0,4,0,0,0,44,145,0,0,47,0,0,5,197,0,0,0,0,57.23,96,100,67.74,0,100,68.09,60.97,1106,26,4,422,0,2,47,1607,4435,0,0,2163,0,0,308,6906,468,2,0,182,0,0,19,671,658,1,0,139,0,0,12,811,320,1,0,286,0,0,25,774,1,0,229,0,0,24,3506,193,43,1446,0,26,0,0,2803,175,43,1266,0,26,131,0,319,0,0,80,0,0,6,0,384,18,0,100,0,0,25,0,300,15,13,173,0,10,18,0,96.96,75,0,97.88,0,0,89.36,90.8,75,0,91.29,0,0,72.34,32498,32056,21044,19895,27060,28499,16634,17780,0,0,0,0,0,0,0,1,84.92,88.89,100,86.53,0,100,87.23,747,24,4,319,0,2,41,18,7,4,47,0,1,2,1077,3,0,422,0,0,47,1082,4,0,423,0,0,47,1035,26,4,414,0,2,46,141,85,197,98,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2206  ,JANJGIR - CHAMPA                                  ,2013-14,1630,0,0,687,21,0,89,0,94,165,124,11,9,28,2,0,1537,0,0,641,21,0,88,0,74,140,78,7,6,22,1,0,20,1,0,1,1,0,0,23,96,2,1,19,0,0,0,118,0,0,0,0,98.49,91.57,96.77,99.09,100,96.43,100,97.83,1653,162,124,666,29,28,89,2751,5076,156,405,1749,0,0,0,7386,555,14,13,234,6,7,17,846,553,13,10,116,7,1,6,716,361,0,0,412,6,0,29,1419,0,0,457,15,0,62,6029,1068,1003,2415,120,212,320,0,4407,974,960,1819,103,202,254,0,688,4,0,169,6,0,23,0,937,90,43,427,11,10,43,0,576,57,114,214,8,15,40,0,79.05,50,0,77.47,81.82,0,83.15,72.51,50,0,72.67,68.18,0,71.91,86816,84822,48512,50202,67161,68866,32915,40591,4,1,0,0,0,0,0,10,95.42,89.76,95.93,98.89,100,92.86,98.9,868,129,118,455,23,24,57,24,27,68,74,8,10,15,1623,0,0,685,20,0,89,1620,0,0,685,20,0,89,1687,166,123,684,30,28,90,617,367,565,195,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2203  ,JASHPUR                                           ,2013-14,1795,0,1,469,0,0,21,0,155,66,8,53,4,15,2,0,1757,0,1,460,0,0,20,0,149,54,4,51,4,10,2,0,77,0,0,1,0,1,0,79,188,0,0,17,0,0,0,205,0,0,0,0,93.77,95.45,100,99.59,100,100,95.65,95.03,1903,67,9,512,4,15,23,2533,5274,0,0,489,0,0,0,5763,500,0,0,150,0,0,4,654,1484,5,0,171,0,0,6,1666,441,0,1,253,0,0,12,1521,0,0,344,0,0,14,5204,569,70,1772,16,129,67,0,3746,535,61,1519,16,122,54,0,701,1,2,96,0,5,3,0,757,33,7,157,0,2,10,0,988,48,4,544,7,10,23,0,98.72,0,50,97.22,50,0,95.24,84.53,0,50,82.9,75,0,90.48,47979,46516,28302,27538,32045,33065,16929,18167,14,1,0,7,0,0,0,0,97.07,100,100,97.93,100,100,100,185,42,9,134,4,12,7,25,19,6,87,4,9,1,1789,0,0,467,0,0,21,1794,0,0,468,0,0,20,1851,67,9,501,4,15,21,220,142,204,77,220,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2214  ,KANKER                                            ,2013-14,1640,2,1,534,8,0,80,0,39,54,13,2,0,17,0,0,1596,1,0,508,8,0,79,0,37,40,4,2,0,9,0,0,44,0,0,2,0,0,2,48,86,0,0,29,0,0,1,116,0,0,0,0,93.76,87.5,100,94.88,100,100,97.47,94.09,1624,53,14,509,8,17,79,2305,2844,0,0,1407,0,0,22,4273,677,0,0,175,1,0,18,871,1199,5,0,193,0,1,22,1421,218,0,1,303,3,0,27,1086,1,0,240,6,0,48,4866,403,191,1766,32,150,252,0,3367,329,191,1412,24,137,204,0,730,29,0,134,1,2,18,0,783,45,0,222,7,11,30,0,0,0,2,0,0,2,0,0,97.81,100,0,95.69,75,0,96.25,97.87,100,0,94.57,75,0,95,40390,39404,23720,23558,33302,34517,19530,21154,0,0,0,0,0,0,0,1,88.28,90.57,100,92.79,100,100,93.75,994,37,13,384,6,16,53,40,21,11,77,3,8,16,1631,2,0,526,7,0,80,1635,2,0,532,8,0,80,1517,55,14,511,8,17,74,117,84,134,50,225,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2208  ,KAWARDHA                                          ,2013-14,1099,6,0,484,3,2,57,0,84,36,3,20,2,10,1,0,1051,5,0,462,1,2,54,0,76,26,1,16,1,5,0,0,52,0,0,4,0,0,0,56,86,1,0,17,0,0,0,104,0,0,0,0,99.48,100,100,98.77,100,100,100,99.32,1154,43,3,489,5,13,57,1764,3877,52,0,880,0,0,0,4809,491,4,0,223,1,2,10,731,430,13,2,122,4,12,25,608,120,1,0,355,1,0,35,904,3,0,352,1,0,44,3603,338,34,1572,19,79,194,0,2531,299,34,1141,17,79,136,0,279,26,0,61,0,0,5,0,797,15,0,372,2,0,53,0,819,48,10,409,21,47,63,0,87.44,83.33,0,90.31,0,0,80.7,79.4,50,0,81.86,0,0,75.44,48720,49376,24176,23367,40098,44545,19435,21941,4,1,0,0,0,1,1,0,96.02,100,100,98.97,100,100,98.31,860,40,3,395,5,11,34,52,19,3,77,4,7,5,1078,5,0,480,1,0,51,1089,5,0,480,1,1,54,1075,43,3,483,5,13,58,448,173,456,126,224,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2217  ,KONDAGAON                                         ,2013-14,1347,5,0,610,4,0,41,0,21,17,4,3,0,5,1,0,1331,5,0,593,3,0,41,0,21,15,2,3,0,3,0,0,19,0,0,9,0,0,0,28,248,1,0,84,0,0,8,341,0,0,0,0,99.33,100,100,99.51,100,100,97.62,99.36,1306,23,4,566,4,5,36,1946,8438,56,0,3477,0,0,402,12373,528,2,0,222,0,0,17,769,860,6,0,300,2,0,16,1189,398,4,0,452,0,0,18,884,3,0,291,1,0,18,4230,145,36,1952,5,44,123,13,2964,120,36,1520,5,40,72,0,429,9,0,140,0,0,22,6,846,16,0,295,0,4,29,7,690,29,26,366,5,16,33,2,95.62,80,0,94.59,50,0,78.05,91.61,80,0,87.87,25,0,68.29,34138,33623,19277,18959,31759,31199,18231,18322,2,1,0,1,0,0,0,5,98.88,100,100,99.83,100,100,100,300,16,2,205,2,5,10,16,7,1,46,0,2,2,1327,4,0,597,3,0,30,1347,5,0,609,3,0,36,1201,20,4,562,4,5,36,122,66,281,100,220,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2205  ,KORBA                                             ,2013-14,1607,9,4,471,7,1,67,0,88,84,68,3,1,26,0,0,1414,7,0,401,5,1,54,0,48,29,12,1,0,9,0,0,79,3,3,5,0,1,1,92,232,1,0,9,0,0,0,242,0,0,0,0,93.4,98.9,100,94.67,87.5,100,98.51,94.26,1566,90,71,441,7,27,64,2266,11519,47,0,558,0,0,0,12124,574,4,2,115,0,1,6,702,810,13,2,82,3,4,3,923,342,1,0,253,6,0,12,926,5,0,318,0,0,42,4799,659,804,1532,37,219,233,0,3198,591,780,1125,37,204,171,0,560,4,7,96,0,0,18,0,1050,64,17,310,0,15,44,0,663,80,321,275,27,101,224,0,94.34,77.78,20,94.06,12.5,100,92.54,81.14,55.56,20,79.41,12.5,100,77.61,54454,52860,31327,32911,44088,45212,25983,27338,6,1,0,1,0,0,0,6,69.37,94.38,98.61,83.41,87.5,92.59,92.54,434,78,72,219,4,24,31,65,37,45,62,2,15,15,1583,8,1,466,4,1,67,1601,9,2,469,5,1,66,1560,91,66,449,7,25,65,479,283,579,98,224,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
