22,CHHATTISGARH                                      ,2221,SUKMA                                             ,2012-13,763,3,0,221,1,0,0,0,9,10,1,2,0,0,0,0,744,3,0,206,0,0,0,0,6,3,0,1,0,0,0,0,28,0,0,5,0,0,0,33,181,0,0,37,0,0,0,218,0,0,0,0,71.76,88.89,100.00,79.07,0.00,0.00,0.00,73.61,666,12,1,197,0,0,0,876,5301,0,0,490,0,0,0,5791,240,0,0,76,0,0,0,316,613,3,0,182,1,0,0,799,256,0,0,141,0,0,0,291,3,0,109,0,0,0,1725,63,13,596,0,0,0,0,1119,53,13,427,0,0,0,0,285,0,0,78,0,0,0,0,328,10,0,97,0,0,0,0,97,0,0,34,0,0,0,0,53.46,16.67,0.00,53.39,0.00,0.00,0.00,67.01,16.67,0.00,66.52,0.00,0.00,0.00,16128,13163,3076,2359,14120,10794,830,1199,557,4130,2554,1889,6771,11167,2647,1844,196,74,551,382,3567,1780,200,177,1,0,0,0,0,0,0,0,20.03,57.14,100.00,28.02,0.00,0.00,0.00,82,7,1,29,0,0,0,34,3,1,32,0,0,0,650,0,0,193,0,0,0,496,0,0,122,0,0,0,1,0,0,2,0,0,0,49,9,109,9,220,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2227,SURAJPUR                                          ,2012-13,1422,4,1,553,6,0,0,1,46,91,17,5,1,0,0,0,1398,3,0,543,2,0,0,0,44,73,11,5,0,0,0,0,59,0,0,5,1,0,0,65,68,0,0,45,1,0,0,114,0,0,0,0,80.58,89.89,100.00,89.80,75.00,0.00,0.00,83.55,1383,93,18,528,7,0,0,2029,2835,0,0,2498,0,0,0,5333,567,10,0,219,1,0,0,798,774,8,2,169,2,0,0,956,394,0,0,374,2,0,0,1161,1,0,378,3,0,0,3703,708,248,1673,28,0,0,0,2292,635,228,1247,28,0,0,0,610,6,2,97,0,0,0,0,794,49,18,328,0,0,0,0,322,8,0,293,0,0,0,0,95.95,66.67,0.00,94.40,33.33,0.00,0.00,97.42,66.67,0.00,96.03,50.00,0.00,0.00,48376,47867,25270,25596,386,218,11027,18875,613,14507,17756,19212,2655,32996,280,384,74,146,322,574,577,317,28,26,3,0,0,0,0,0,0,0,18.15,37.08,83.33,26.07,66.67,0.00,0.00,106,57,17,70,6,0,0,28,16,7,42,1,0,0,1413,4,0,547,4,0,0,1418,4,1,549,5,0,0,1406,89,18,539,7,0,0,380,140,319,156,218,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CHHATTISGARH                                      ,2202,SURGUJA                                           ,2012-13,1431,2,0,589,2,0,1,1,93,100,10,22,2,0,0,0,1383,1,0,560,1,0,1,0,71,59,4,18,0,0,0,0,53,0,0,5,0,0,0,58,50,0,0,5,0,0,0,55,0,0,0,0,92.66,96.74,100.00,96.78,100.00,0.00,0.00,93.96,1450,98,10,577,3,0,1,2139,1802,0,0,135,0,0,0,1937,524,7,0,149,2,0,0,682,843,14,1,228,1,0,1,1089,324,0,0,327,0,0,0,1079,1,0,414,0,0,0,3853,805,122,1732,9,0,6,0,2432,730,125,1335,9,0,6,0,619,0,0,147,0,0,0,0,784,50,0,254,0,0,0,0,618,78,38,295,3,0,0,0,90.38,16.67,0.00,89.54,0.00,0.00,0.00,93.22,33.33,0.00,93.76,33.33,0.00,0.00,47150,46053,23931,24404,574,605,12289,17850,682,17752,19493,20793,1982,33130,292,532,2,19,405,487,1027,769,59,274,4,0,0,0,0,0,0,0,30.15,53.76,70.00,36.35,100.00,0.00,0.00,167,69,10,102,2,0,1,34,32,8,65,1,0,0,1422,1,0,584,0,0,0,1425,1,0,585,0,0,0,1460,93,10,588,2,0,1,319,132,200,40,217,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DADRA & NAGAR HAVELI                              ,2601,DADRA AND NAGAR HAVELI(UT)                        ,2012-13,161,110,1,1,1,1,0,0,20,8,3,0,0,9,0,0,152,102,0,1,1,0,0,0,13,4,0,0,0,8,0,0,9,0,0,0,0,0,0,9,50,0,0,0,0,0,0,50,0,0,0,0,58.56,88.98,100.00,100.00,100.00,90.00,0.00,71.75,179,118,4,1,1,10,0,313,1760,0,0,0,0,0,0,1760,24,22,0,0,0,0,0,46,93,5,0,1,0,0,0,99,59,3,0,1,0,1,0,9,5,0,1,0,0,0,456,956,131,2,6,118,0,0,317,760,131,2,6,120,0,0,10,18,0,0,0,0,0,0,91,125,0,0,0,0,0,0,47,136,38,0,0,10,0,0,97.63,100.00,0.00,0.00,0.00,80.00,0.00,98.22,100.00,0.00,0.00,0.00,60.00,0.00,16158,15184,9196,8193,14952,14340,8813,7910,4349,4333,1992,2203,15334,14667,8722,7902,10,21,41,62,99,109,0,37,0,0,0,0,0,0,0,0,50.83,80.51,100.00,0.00,100.00,90.00,0.00,159,117,4,1,1,10,0,13,74,4,1,1,10,0,161,109,0,1,0,0,0,161,110,1,1,0,0,0,156,112,4,1,1,9,0,124,62,151,54,235,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DAMAN & DIU                                       ,2502,DAMAN                                             ,2012-13,29,7,1,9,9,0,3,0,4,3,5,0,1,2,0,0,22,6,0,7,7,0,3,0,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,50.00,97.14,33,9,5,8,10,2,4,71,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,1,1,2,0,0,1,9,2,3,0,0,0,0,0,24,6,0,5,9,0,3,176,81,103,31,61,34,12,0,157,69,103,27,52,34,12,0,8,5,0,0,0,0,0,0,11,7,0,4,9,0,0,0,33,18,18,7,70,0,0,0,96.55,85.71,0.00,88.89,90.00,0.00,100.00,96.55,85.71,0.00,88.89,90.00,0.00,100.00,3456,3133,2073,1913,1518,1311,864,1315,986,958,613,657,1406,2022,801,738,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96.88,100.00,100.00,100.00,100.00,100.00,75.00,33,9,5,8,10,2,4,9,7,5,8,10,2,3,28,6,0,8,9,0,3,28,6,0,8,9,0,3,33,10,6,9,9,2,4,20,14,16,7,235,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DAMAN & DIU                                       ,2501,DIU                                               ,2012-13,19,0,0,12,1,2,0,5,4,1,1,0,0,1,0,0,12,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,23,1,1,12,1,3,0,41,126,0,0,0,0,0,0,126,3,0,0,1,0,0,0,4,3,0,0,1,0,0,0,9,4,0,0,0,0,2,0,11,0,0,10,1,0,0,109,8,16,64,9,37,0,0,86,8,16,58,9,37,0,0,6,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,11,0,2,24,0,19,0,0,100.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,1719,2115,1500,1586,31,26,139,1466,17,24,20,56,282,1758,98,144,0,0,65,98,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,0.00,23,1,1,12,1,3,0,2,0,1,12,1,3,0,19,0,0,12,1,0,0,19,0,0,12,1,1,0,23,1,1,12,1,3,0,14,9,14,4,213,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,706,CENTRAL DELHI                                     ,2012-13,96,0,17,5,13,1,5,0,29,6,37,2,31,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,125,6,54,7,44,5,10,251,0,0,0,0,0,0,0,0,5,0,1,0,7,1,3,17,3,0,0,1,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,63,946,39,279,53,48,0,564,63,913,33,247,47,38,0,85,0,6,3,1,0,0,0,213,0,27,3,31,6,10,0,587,30,790,26,448,56,114,0,92.86,100.00,94.44,100.00,65.12,100.00,77.78,100.00,100.00,97.22,100.00,95.35,100.00,100.00,17604,17379,11187,12024,9353,9188,11588,11648,4738,5452,4658,5938,12877,14075,7218,6585,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.96,100.00,100.00,100.00,100.00,100.00,100.00,125,6,54,7,44,5,10,91,6,42,4,31,2,7,96,0,17,5,13,1,5,0,0,0,0,0,0,0,125,6,54,7,44,5,10,117,83,93,2,215,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,704,EAST DELHI                                        ,2012-13,190,0,61,0,34,2,15,0,137,66,60,5,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,327,66,121,5,37,15,18,589,0,0,0,0,0,0,0,0,6,0,6,0,6,1,1,20,3,1,0,0,0,0,1,5,4,0,2,0,7,0,4,0,0,0,0,0,0,0,3413,815,2749,35,408,230,202,0,2862,812,2691,27,297,230,147,0,226,0,6,1,18,0,35,0,325,3,52,7,93,0,20,0,1753,365,2446,18,864,175,161,0,95.00,100.00,90.91,100.00,86.49,50.00,93.75,99.00,100.00,96.97,100.00,94.59,100.00,100.00,48774,50868,31818,33730,22659,25489,30617,32928,4713,12492,5237,8616,43095,45768,10044,9056,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,80.42,100.00,100.00,100.00,100.00,100.00,100.00,326,66,121,5,37,15,18,253,58,102,1,20,12,14,190,0,59,0,34,2,15,0,0,0,0,0,0,0,327,66,121,5,37,15,18,377,194,291,20,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,705,NEW DELHI                                         ,2012-13,21,7,21,0,2,7,0,0,7,1,24,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,28,8,45,1,4,12,0,98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,296,111,948,5,44,202,0,0,271,111,937,5,42,190,0,0,4,0,9,0,0,0,0,0,21,0,2,0,2,12,0,0,152,70,636,1,25,108,0,0,83.33,100.00,65.71,0.00,66.67,70.00,0.00,95.83,100.00,85.71,100.00,100.00,100.00,0.00,9090,10040,5488,5268,1416,2835,5585,5284,793,678,456,425,8895,9947,1090,2094,177,74,54,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,0.00,28,8,45,1,4,12,0,24,5,39,0,4,11,0,21,7,18,0,2,7,0,0,0,0,0,0,0,0,28,8,45,1,4,12,0,59,37,8,1,211,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,702,NORTH DELHI                                       ,2012-13,127,1,26,4,18,2,8,0,31,15,33,3,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,158,16,59,7,32,6,12,290,16,0,0,175,0,0,0,191,6,0,3,2,6,0,3,20,4,0,0,0,2,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1258,187,979,51,222,111,86,0,1041,184,902,43,202,103,59,0,70,0,14,0,1,0,0,0,147,3,63,8,19,8,27,0,853,134,825,32,469,17,129,0,98.46,100.00,85.42,85.71,75.00,100.00,100.00,97.69,100.00,100.00,85.71,96.88,66.67,100.00,26580,26582,15254,17505,12108,12761,15591,17882,3106,6115,3442,4751,22265,25220,7530,6305,12,22,180,0,0,0,0,0,0,0,0,0,0,0,0,0,77.69,100.00,100.00,100.00,100.00,100.00,100.00,157,16,59,7,32,6,12,120,12,43,2,22,6,7,127,1,26,4,18,2,8,0,0,0,0,0,0,0,158,16,59,7,32,6,12,168,87,140,10,216,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,703,NORTH EAST DELHI                                  ,2012-13,197,1,31,7,58,4,23,0,190,168,27,2,3,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,387,169,58,9,61,40,25,749,0,0,0,0,0,0,0,0,14,1,7,1,26,1,9,59,2,0,0,0,0,0,0,2,5,1,0,0,9,2,9,0,0,0,0,0,0,0,4719,1818,1220,78,770,616,271,0,4056,1813,1020,32,694,585,201,0,271,0,44,34,25,24,23,0,392,5,156,12,51,7,64,0,1460,1011,1042,48,1110,289,138,0,93.43,0.00,91.18,77.78,85.00,75.00,79.17,93.94,0.00,91.18,77.78,85.00,75.00,79.17,69408,67385,44798,52884,29865,25213,44604,51816,10012,18972,10226,11317,64449,61271,24530,18549,43,30,0,634,0,0,0,0,0,0,0,0,0,0,0,0,75.52,100.00,100.00,100.00,100.00,100.00,100.00,386,169,58,9,61,40,25,242,134,42,5,38,36,12,197,1,31,7,58,4,23,0,0,0,0,0,0,0,387,169,58,9,61,40,25,440,270,446,115,218,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,701,NORTH WEST DELHI                                  ,2012-13,443,0,84,5,106,8,29,0,96,86,126,2,9,53,0,0,43,0,5,1,8,0,0,0,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,539,86,210,7,115,61,29,1047,0,0,0,0,0,0,0,0,43,0,3,1,27,0,5,79,3,3,0,0,1,0,0,7,32,0,2,1,16,5,7,0,0,0,0,0,0,0,7056,1002,4791,80,1367,739,312,0,5748,996,4509,71,1122,714,243,0,709,0,94,0,99,0,11,0,599,6,200,9,146,25,58,0,2897,538,3607,36,2100,565,386,0,98.20,0.00,86.21,80.00,97.32,75.00,93.10,97.97,0.00,90.80,80.00,97.32,75.00,93.10,132551,130209,75960,72701,67801,64687,76108,71020,9869,19941,17515,16841,117041,115037,24480,20702,19,181,7,2,0,0,0,0,0,0,0,0,0,0,0,0,79.19,100.00,100.00,100.00,100.00,100.00,100.00,537,86,210,7,115,61,29,432,76,172,6,75,54,20,443,0,76,5,105,6,29,0,0,0,0,0,0,0,539,86,210,7,115,61,29,669,352,507,29,215,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,709,SOUTH DELHI                                       ,2012-13,275,0,51,0,72,3,28,0,146,36,67,1,7,23,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,421,36,118,1,79,26,29,710,0,0,0,0,0,0,0,0,33,0,0,0,15,0,7,55,2,0,0,0,0,0,0,2,14,0,1,0,9,1,7,0,0,0,0,0,0,0,5083,494,2934,3,937,521,296,0,4356,482,2699,3,639,481,171,0,183,4,90,0,69,26,15,0,544,8,145,0,229,14,110,0,2027,217,2023,1,933,189,205,0,93.64,25.00,78.95,0.00,84.81,100.00,86.21,93.64,75.00,87.72,0.00,92.41,100.00,86.21,79591,85720,48303,53190,34673,38550,50067,53749,6473,14322,10523,12768,69212,75587,16330,16127,217,142,40,6,0,0,0,0,0,0,0,0,0,0,0,0,73.98,100.00,100.00,100.00,100.00,100.00,100.00,420,36,118,1,79,26,29,341,33,99,0,48,24,19,271,0,44,0,72,3,28,0,0,0,0,0,0,0,421,36,118,1,79,26,29,434,225,391,18,214,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,708,SOUTH WEST DELHI                                  ,2012-13,192,4,63,0,69,6,10,0,79,52,114,1,3,56,1,0,48,0,8,0,22,0,2,0,8,2,3,0,0,10,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,271,56,177,1,72,62,11,650,42,0,0,0,0,0,0,42,14,0,3,0,14,0,1,32,15,1,0,1,1,0,0,18,11,0,4,0,12,2,2,0,0,0,0,0,0,0,3196,619,4219,3,689,941,123,0,2808,614,3960,3,589,912,81,0,175,0,109,0,39,0,0,0,213,5,150,0,61,29,42,0,1384,396,3390,4,1255,599,142,0,93.81,83.33,75.00,100.00,94.29,50.00,100.00,95.88,83.33,80.56,100.00,94.29,75.00,100.00,59504,57554,33002,32583,33269,26002,34093,30618,5094,10110,4920,5579,57257,54890,12260,8214,638,20,173,94,0,0,0,0,0,0,0,0,0,0,0,0,77.16,100.00,100.00,100.00,100.00,100.00,100.00,267,56,176,1,72,62,11,220,49,152,1,49,55,9,192,3,50,0,68,4,10,0,0,0,0,0,0,0,271,56,177,1,72,62,11,393,224,231,10,217,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DELHI                                             ,707,WEST DELHI                                        ,2012-13,225,0,69,0,51,0,17,0,100,75,103,1,9,62,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,325,75,172,1,60,62,24,719,0,0,121,0,0,0,0,121,10,0,2,0,7,0,2,21,3,0,0,0,3,0,0,6,14,0,4,0,6,0,7,0,0,0,0,0,0,0,4344,811,3834,3,711,781,250,0,3734,811,3594,3,584,781,224,0,287,0,64,0,37,0,19,0,323,0,200,0,90,0,7,0,1441,537,2968,17,792,588,158,0,92.58,100.00,84.62,0.00,84.21,0.00,71.43,96.07,100.00,92.31,0.00,87.72,0.00,90.48,79050,84782,48012,47016,38338,40514,47452,45541,5637,8711,9961,9389,73736,78178,19374,12418,0,103,0,54,0,0,0,0,0,0,0,0,0,0,0,0,77.41,100.00,100.00,100.00,100.00,100.00,100.00,323,75,171,1,60,62,24,271,67,146,1,37,58,13,223,0,65,0,51,0,17,0,0,0,0,0,0,0,325,75,172,1,60,62,24,454,270,311,23,215,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GOA                                               ,3001,NORTH GOA                                         ,2012-13,522,31,3,4,3,8,43,0,113,7,8,8,2,66,105,0,473,25,0,2,0,1,38,0,74,5,6,5,1,52,80,0,169,0,0,1,0,2,6,178,252,0,0,0,0,0,0,252,0,0,0,0,95.56,94.59,100.00,100.00,100.00,98.51,100.00,96.56,625,37,11,10,4,68,145,900,3279,0,0,0,0,0,0,3279,5,0,0,0,0,0,1,6,474,16,0,5,3,9,19,526,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1691,216,162,32,20,802,877,0,1430,172,162,26,20,763,802,0,59,5,0,0,0,10,12,0,205,39,0,13,0,32,69,0,417,56,40,22,21,279,434,0,96.29,97.06,36.36,66.67,40.00,73.13,82.31,97.35,100.00,63.64,75.00,40.00,92.54,97.28,19041,18177,23537,21235,10123,8894,320,717,290,3116,852,3322,4691,4734,1816,2612,477,431,0,0,33,22,0,0,1,0,0,0,0,0,0,0,61.05,77.78,100.00,40.00,75.00,94.03,87.67,623,37,11,10,4,68,146,68,30,11,7,4,67,144,512,30,0,2,1,2,41,329,15,1,0,1,1,28,580,35,11,12,5,72,139,134,101,50,8,216,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GOA                                               ,3002,SOUTH GOA                                         ,2012-13,318,15,2,0,3,0,28,0,58,6,3,3,0,76,39,0,255,11,0,0,1,0,21,0,22,4,1,2,0,48,22,0,93,0,0,1,0,0,0,94,125,0,0,0,0,0,0,125,0,0,0,0,88.53,95.24,100.00,100.00,100.00,100.00,100.00,91.99,369,21,5,4,3,76,67,545,1731,0,0,0,0,0,0,1731,7,0,0,0,0,0,0,7,272,6,0,3,0,0,1,282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,124,103,8,14,1046,473,0,920,99,92,8,14,972,394,0,63,6,0,0,0,18,16,0,142,19,11,0,0,89,75,0,289,33,18,7,25,401,210,0,97.05,87.50,33.33,33.33,33.33,79.69,86.57,98.82,93.75,33.33,33.33,33.33,100.00,95.52,15077,14782,18738,17225,8805,8281,136,636,74,1344,442,1260,3344,3807,837,1297,672,660,186,145,7,11,120,104,0,0,0,1,0,0,0,0,62.23,66.67,100.00,100.00,100.00,93.15,91.04,364,21,5,4,3,76,67,39,20,5,2,2,75,66,317,15,0,0,1,0,28,113,5,2,0,2,0,18,351,21,5,4,3,76,63,112,81,40,5,218,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2407,AHMADABAD                                         ,2012-13,192,1055,5,140,0,1,1,2,85,1045,123,32,7,39,8,0,29,797,0,9,0,0,1,0,33,311,37,18,3,13,3,0,3,1,1,1,1,0,1,8,4,4,0,4,0,0,0,12,0,0,0,0,95.85,97.04,99.18,98.72,100.00,100.00,100.00,97.17,266,2044,126,170,7,40,9,2662,108,167,0,308,0,0,0,583,7,60,5,10,2,3,5,92,49,158,16,17,6,1,7,256,23,48,1,13,0,0,0,55,797,0,27,0,0,0,2243,19269,1593,1603,33,440,8,0,2129,18170,1601,1424,33,451,8,0,60,513,0,31,0,0,0,0,134,743,0,192,0,0,0,0,152,986,562,140,24,177,30,0,92.78,97.68,16.67,94.84,0.00,0.00,0.00,92.78,97.49,16.67,93.55,0.00,0.00,0.00,121546,117987,54162,49606,19849,20450,46391,40753,123529,111509,62477,53764,96930,90385,5135,4897,477,423,339,236,581,552,495,385,0,1,0,0,0,0,0,0,91.22,94.47,99.17,97.40,100.00,100.00,100.00,259,2030,115,169,7,38,9,111,1835,111,149,4,33,4,189,1026,1,136,0,0,0,179,1037,1,126,0,0,0,243,1977,122,169,7,34,8,1479,1094,1514,1067,224,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2413,AMRELI                                            ,2012-13,47,756,1,0,0,0,1,3,22,151,25,3,2,21,1,0,36,700,1,0,0,0,0,0,11,79,15,2,1,8,1,0,7,11,0,0,1,0,0,19,4,2,0,0,0,0,0,6,0,0,0,0,100.00,100.00,95.83,100.00,100.00,100.00,100.00,99.90,69,907,25,3,2,21,2,1029,127,119,0,0,0,0,0,246,15,55,1,0,0,0,0,71,39,95,2,0,1,2,1,143,8,14,0,0,0,0,1,36,690,0,0,0,0,0,232,6598,266,15,4,209,12,0,209,5828,257,12,4,200,12,0,6,377,1,0,0,3,0,0,16,397,8,3,0,2,0,0,35,1004,83,0,1,71,0,0,95.83,99.21,0.00,0.00,0.00,0.00,0.00,97.92,99.21,0.00,0.00,0.00,0.00,0.00,56498,53963,25483,25798,8877,8426,22016,21421,49272,46926,23401,22764,48167,45809,2641,2514,88,237,173,134,245,240,79,68,0,0,0,0,0,0,0,0,69.57,82.13,88.46,100.00,100.00,95.24,100.00,68,903,24,3,2,21,2,35,856,25,3,2,21,2,46,753,0,0,0,0,0,43,739,0,0,0,0,0,57,834,20,3,2,20,2,385,271,314,154,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2415,ANAND                                             ,2012-13,374,685,2,3,2,0,1,0,63,108,37,56,8,10,2,0,342,593,1,0,2,0,1,0,46,54,24,37,6,8,2,0,18,2,0,0,0,0,0,20,6,0,0,3,1,0,0,10,0,0,0,0,90.55,94.35,100.00,100.00,88.89,100.00,100.00,93.50,437,793,39,59,10,10,3,1351,326,0,0,292,182,0,0,800,97,22,0,5,0,0,2,126,151,5,0,2,2,0,0,160,27,1,0,0,0,0,0,259,549,0,1,0,0,0,1432,7117,502,286,54,86,3,0,1202,5988,490,272,51,96,3,0,74,654,0,0,3,0,0,0,144,550,12,17,0,2,0,0,47,346,247,15,20,50,0,0,97.95,98.73,0.00,45.24,16.67,0.00,0.00,97.95,99.01,16.67,54.76,50.00,0.00,0.00,77743,70404,37608,32901,14772,13370,37965,32358,69472,61185,41747,34953,76963,69230,4890,4323,209,107,145,109,309,271,216,28,0,0,0,0,0,0,0,0,50.11,84.34,94.87,94.64,100.00,90.00,66.67,433,792,39,59,10,9,3,94,761,37,43,5,10,3,373,678,0,3,0,0,0,374,683,1,3,0,0,0,350,741,38,56,10,10,3,674,419,534,293,230,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
